metric,value
May signup rows,247
first May signup timestamp,2026-05-01 00:10:47.755
last May signup timestamp,2026-05-01 23:15:27.702
May revenue rows,17433
May revenue companies,17433
May total revenue,668586.30
latest validation date,2026-05-28
latest activation date,2026-05-29
latest closure date,2026-05-28
