account_health_state,companies,cumulative_revenue,cutoff_month_revenue,last_observed_month_revenue,top_20pct_company_share_pct,top_20pct_historical_revenue_share_pct
Healthy revenue account,3341,1671186.53359845404125609595,423157.23733938354494842472,423157.23733938354494842472,95.08,96.15
Recovered / monitor,19,4791.48596578588589654796,816.50206691890316078115,816.50206691890316078115,0.54,0.28
At-risk,85,36867.65661508138934513706,0.00000000000000000000,9790.44526588271169461426,2.42,2.12
Churned proxy,69,25204.05804506621136496339,0.00000000000000000000,9454.03588129123378532893,1.96,1.45
