top_company_pct,included_companies,included_revenue,cumulative_revenue_share_pct
1,91,193472.83743926390587526390,14.38
5,455,473593.03179250308723858920,35.19
10,909,667731.16592613100588631199,49.61
20,1818,901984.45634713371085568224,67.02
30,2727,1049583.65035868604178344592,77.99
50,4544,1225315.36043084506167518103,91.05
