revenue_month,company_profile_id,persona,initial_subscription_group,subscription_revenue,interchange_revenue,banking_fees,deposit_interest_revenue,total_revenue
2026-04-01,9b89d333-b2c6-4e62-9f1d-32cd7af7adb0,Consultant,start,0.00000000000000000000,0.00000000000000000000,-200.00000000000000000000,0.05302246575342468200,-199.94697753424657531800
2026-05-01,1b826963-27f8-4006-87df-0a9bd49b3009,Consultant,start,7.31250000000000000000,0.00000000000000000000,-138.00000000000000000000,0.26131164931506851000,-130.42618835068493149000
2026-05-01,45cccd2e-295d-4dc1-90a0-2d903a60c227,Bikers_Drivers,business,0.00000000000000000000,92.51852399999957300000,-112.82000000000000000000,0.57231475178082192000,-19.72916124821960508000
2025-12-01,e8c55986-eea6-4f5b-b3d9-8e7dca92af51,Retail,plus,28.38666666700000000000,2.90026920461894160000,-107.00000000000000000000,10.89026731178082100000,-64.82279681660023740000
2026-05-01,9c622a7f-fc76-457b-8924-a0a5e0f71f60,Others,business,80.00000000000000000000,0.00000000000000000000,-104.34000000000000000000,0.29644807013698632000,-24.04355192986301368000
2025-12-01,a9ab7647-ea2a-4fe8-a3af-6f0cdf97da92,Consultant,start,11.00000000000000000000,5.29210707001352710000,-41.40000000000000000000,2.88555841698630160000,-22.22233451300017130000
2026-04-01,6ab50557-b310-4f2e-a8ba-dfe5f7c979ee,Others,free,0.00000000000000000000,0.00000000000000000000,-16.18000000000000000000,0.00003089589041095891,-16.17996910410958904109
2026-03-01,5846f45f-a48e-4219-a96b-7240bf33df9b,Cleaning_CallCenters,plus,0.00000000000000000000,40.09129199999980400000,-9.60000000000000000000,0.09489508712328766100,30.58618708712309166100
2026-04-01,791c734b-e806-4b1a-a86e-a6943116a9ec,Others,free,0.00000000000000000000,0.00000000000000000000,-7.86000000000000000000,0.00002316712328767124,-7.85997683287671232876
2026-04-01,68a022be-9c80-488b-8a26-bf6b65d12379,Bikers_Drivers,business,0.00000000000000000000,0.83050199999999552000,-6.20000000000000000000,0.17408487178082194000,-5.19541312821918254000
2026-04-01,b9a4c1a1-39cb-41c5-a873-9cab10023401,Retail,free,0.00000000000000000000,0.00000000000000000000,-6.16000000000000000000,0.00097113424657534263,-6.15902886575342465737
2026-04-01,bd9f0276-1335-407f-9e7b-f63b372f49fa,Developer_IT,plus,0.00000000000000000000,0.00000000000000000000,-5.68000000000000000000,0.04198426575342465600,-5.63801573424657534400
2026-01-01,87e36113-939b-476e-aed7-0ab0ab5ec933,Bikers_Drivers,plus,25.00000000000000000000,0.20485799999999893000,-5.36000000000000000000,0.00282161917808219230,19.84767961917808112230
2026-02-01,79d9876d-84fb-4226-b907-0b7c355c70ea,Developer_IT,free,21.65000000000000000000,1.05299999999999570000,-4.00000000000000000000,0.51844366136986308000,19.22144366136985878000
2026-04-01,e5e387f0-ff64-4267-84d8-923c60d5a47f,BTP,start,0.00000000000000000000,0.00000000000000000000,-4.00000000000000000000,0.00083460821917808229,-3.99916539178082191771
2026-02-01,a0d54a4c-4e5f-446c-b880-864c0d7363c9,Others,plus,0.00000000000000000000,0.00000000000000000000,-4.00000000000000000000,0.00018852164383561647,-3.99981147835616438353
2026-02-01,510b012f-c863-410a-bb36-3e6d2b43dcdc,Others,free,0.00000000000000000000,0.00000000000000000000,-4.00000000000000000000,1.94544799013698650000,-2.05455200986301350000
2026-01-01,f5bc57da-9aa6-4d2a-b99c-5b97ec9781db,Others,free,0.00000000000000000000,0.00000000000000000000,-4.00000000000000000000,0.00004463671232876714,-3.99995536328767123286
2026-02-01,18a8a2e1-1ead-478e-8680-2a18b223e65e,Restauration,start,0.00000000000000000000,0.00000000000000000000,-4.00000000000000000000,0.00007272657534246576,-3.99992727342465753424
2026-04-01,20963c33-c8b7-41af-80f8-0aec033c30ab,Bikers_Drivers,start,0.00000000000000000000,0.00000000000000000000,-4.00000000000000000000,0.00008165698630136987,-3.99991834301369863013
2026-04-01,c53e7fa1-c79e-498c-8d6e-a3750b010e04,Retail,free,0.00000000000000000000,54.88199999999970000000,-4.00000000000000000000,1.63822342465753450000,52.52022342465723450000
2026-02-01,448a55ea-6eae-4902-a1f2-b4a8273e7579,Retail,free,0.00000000000000000000,0.00000000000000000000,-3.00000000000000000000,0.00178629041095890390,-2.99821370958904109610
2026-04-01,f6caec9e-603f-4b0b-bed6-85171b4b23b7,Developer_IT,free,0.00000000000000000000,0.00000000000000000000,-2.80000000000000000000,0.00241824657534246610,-2.79758175342465753390
2026-04-01,f3b3a203-7f09-4cf6-b472-e54fc4bc2078,Retail,free,0.00000000000000000000,0.00000000000000000000,-2.48000000000000040000,0.00170760876712328740,-2.47829239123287711260
2026-04-01,2a3a7f71-d6e6-46af-883a-b9138b493085,Bikers_Drivers,business,25.00000000000000000000,1.28330999999999310000,-2.00000000000000000000,0.10716084821917807000,24.39047084821917117000
2026-03-01,00147f71-ce1e-4ff0-8b65-5023e8ff8e25,Bikers_Drivers,plus,0.00000000000000000000,0.05129999999999975600,-1.92000000000000000000,0.00612879452054794670,-1.86257120547945229730
2026-01-01,4d5cbfdc-70a9-43e8-a6fe-3c8dcfc06450,BTP,plus,25.00000000000000000000,0.00000000000000000000,-1.92000000000000000000,0.00299080986301369880,23.08299080986301369880
2026-02-01,53d67d6c-d8e1-4575-9f06-b6d877d91e36,Bikers_Drivers,start,11.00000000000000000000,0.00000000000000000000,-0.04000000000000000000,0.00005292164383561646,10.96005292164383561646
