initial_subscription_group,revenue_companies,subscription_revenue,interchange_revenue,banking_fees,deposit_interest_revenue,total_revenue,average_revenue_per_company,median_revenue_per_company,total_revenue_share_pct
start,7934,76999.60,117875.50,19237.82,92110.76,306223.68,38.6,15.51,45.8
plus,2113,45885.03,87197.48,9855.30,30417.75,173355.56,82.04,38.76,25.9
free,7114,4436.16,54124.83,16380.68,69434.10,144375.78,20.29,3.80,21.6
business,272,17746.86,21429.12,1883.38,3571.93,44631.28,164.09,85.09,6.7
