activation_month,revenue_companies,top_20pct_companies,cohort_total_revenue,top_20pct_revenue,cohort_top_20pct_penetration_pct,share_of_top_20pct_companies_pct,share_of_top_20pct_revenue_pct
2025-10-01,1194,520,345669.57564226106130963572,297360.66561629679213724449,43.55,14.8,17.11
2025-11-01,2429,956,619384.55850232797702828481,522415.09815940582720176527,39.36,27.21,30.06
2025-12-01,2697,795,502119.57945624157776160847,389483.36101751924261618869,29.48,22.62,22.41
2026-01-01,2741,580,368929.03276895174803319802,256837.42787707480036493505,21.16,16.51,14.78
2026-02-01,3222,435,310031.97922303259306828510,187801.37225900420496988912,13.5,12.38,10.81
2026-03-01,2430,166,135634.49923343529832769604,58450.26014623797215031227,6.83,4.72,3.36
2026-04-01,2855,62,69062.34478333246523965047,25701.54914884868842240947,2.17,1.76,1.48
