inactive_months,persona,initial_subscription_group,segment_level,spells_reaching_inactivity_threshold,eventually_returned_in_observed_window,unresolved_at_april_cutoff,spells_with_1_month_followup,returned_within_next_1_month,spells_with_2_month_followup,returned_within_next_2_months,observed_return_lower_bound_pct,return_within_next_1_month_pct,return_within_next_2_months_pct
1,Wholesale,free,persona_x_initial_plan,13,1,12,9,1,5,1,7.7,11.1,20.0
1,Wholesale,plus,persona_x_initial_plan,6,0,6,6,0,5,0,0.0,0.0,0.0
1,Wholesale,start,persona_x_initial_plan,13,1,12,10,1,5,1,7.7,10.0,20.0
2,ALL,business,initial_plan,67,0,67,51,0,39,0,0.0,0.0,0.0
2,ALL,free,initial_plan,416,27,389,255,18,145,19,6.5,7.1,13.1
2,ALL,plus,initial_plan,194,7,187,131,3,79,5,3.6,2.3,6.3
2,ALL,start,initial_plan,380,10,370,235,7,118,7,2.6,3.0,5.9
2,ALL,ALL,overall,1057,44,1013,672,28,381,31,4.2,4.2,8.1
2,Automobile_Trade_Repair,ALL,persona,55,2,53,36,1,19,2,3.6,2.8,10.5
2,BTP,ALL,persona,182,7,175,116,4,71,5,3.8,3.4,7.0
2,Bankers_Insurance,ALL,persona,12,0,12,10,0,5,0,0.0,0.0,0.0
2,Bikers_Drivers,ALL,persona,133,4,129,93,4,64,3,3.0,4.3,4.7
2,Cleaning_CallCenters,ALL,persona,2,0,2,1,0,1,0,0.0,0.0,0.0
2,Consultant,ALL,persona,134,7,127,81,3,46,4,5.2,3.7,8.7
2,Developer_IT,ALL,persona,75,8,67,49,6,29,6,10.7,12.2,20.7
2,Media_Publishing,ALL,persona,21,4,17,13,2,7,2,19.0,15.4,28.6
2,Medical_Professionals,ALL,persona,5,0,5,3,0,0,0,0.0,0.0,
2,Others,ALL,persona,179,5,174,112,4,65,4,2.8,3.6,6.2
2,Professeur,ALL,persona,28,1,27,16,1,8,1,3.6,6.3,12.5
2,Repair,ALL,persona,12,0,12,8,0,4,0,0.0,0.0,0.0
2,Restauration,ALL,persona,27,2,25,19,1,9,1,7.4,5.3,11.1
2,Retail,ALL,persona,168,4,164,102,2,48,3,2.4,2.0,6.3
2,Wholesale,ALL,persona,24,0,24,13,0,5,0,0.0,0.0,0.0
2,Automobile_Trade_Repair,business,persona_x_initial_plan,3,0,3,3,0,2,0,0.0,0.0,0.0
2,Automobile_Trade_Repair,free,persona_x_initial_plan,15,0,15,7,0,6,0,0.0,0.0,0.0
2,Automobile_Trade_Repair,plus,persona_x_initial_plan,13,1,12,9,0,3,1,7.7,0.0,33.3
2,Automobile_Trade_Repair,start,persona_x_initial_plan,24,1,23,17,1,8,1,4.2,5.9,12.5
