activation_month,observation_month,months_since_activation,persona,initial_subscription_group,segment_level,activated_cohort_size,active_companies,continuously_active_companies,reactivated_active_companies,active_share_pct,continuously_active_share_pct,reactivated_active_share_pct,average_current_streak_among_active,total_revenue,monthly_revenue_per_original_activated_company
2025-10-01,2025-10-01,0,Cleaning_CallCenters,free,persona_x_initial_plan,4,4,4,0,100.0,100.0,0.0,1.0,139.62245045698630113484,34.90561261424658
2025-10-01,2025-10-01,0,Cleaning_CallCenters,start,persona_x_initial_plan,2,2,2,0,100.0,100.0,0.0,1.0,9.61854984821917610000,4.809274924109588
2025-10-01,2025-10-01,0,Consultant,business,persona_x_initial_plan,2,2,2,0,100.0,100.0,0.0,1.0,4.81070023616438436301,2.4053501180821923
2025-10-01,2025-10-01,0,Consultant,free,persona_x_initial_plan,80,80,80,0,100.0,100.0,0.0,1.0,2483.46164341116695007828,31.043270542639583
2025-10-01,2025-10-01,0,Consultant,plus,persona_x_initial_plan,15,15,15,0,100.0,100.0,0.0,1.0,331.07391925646775353040,22.07159461709785
2025-10-01,2025-10-01,0,Consultant,start,persona_x_initial_plan,105,105,105,0,100.0,100.0,0.0,1.0,2240.18276854840786720614,21.33507398617531
2025-10-01,2025-10-01,0,Developer_IT,free,persona_x_initial_plan,35,35,35,0,100.0,100.0,0.0,1.0,905.94603461665353940470,25.88417241761867
2025-10-01,2025-10-01,0,Developer_IT,plus,persona_x_initial_plan,13,13,13,0,100.0,100.0,0.0,1.0,509.12535689828422086180,39.16348899217571
2025-10-01,2025-10-01,0,Developer_IT,start,persona_x_initial_plan,43,42,42,0,97.67,97.67,0.0,1.0,1869.22993894016636400790,43.47046369628294
2025-10-01,2025-10-01,0,Media_Publishing,free,persona_x_initial_plan,15,15,15,0,100.0,100.0,0.0,1.0,265.17795093847789228299,17.678530062565194
2025-10-01,2025-10-01,0,Media_Publishing,plus,persona_x_initial_plan,1,1,1,0,100.0,100.0,0.0,1.0,86.61230918116808300000,86.61230918116809
2025-10-01,2025-10-01,0,Media_Publishing,start,persona_x_initial_plan,18,18,18,0,100.0,100.0,0.0,1.0,359.09565595063843576966,19.949758663924356
2025-10-01,2025-10-01,0,Medical_Professionals,free,persona_x_initial_plan,5,5,5,0,100.0,100.0,0.0,1.0,8.65905558621354764900,1.7318111172427095
2025-10-01,2025-10-01,0,Medical_Professionals,plus,persona_x_initial_plan,1,1,1,0,100.0,100.0,0.0,1.0,0.02746849315068492600,0.027468493150684926
2025-10-01,2025-10-01,0,Medical_Professionals,start,persona_x_initial_plan,8,8,8,0,100.0,100.0,0.0,1.0,17.07554413961862228443,2.1344430174523277
2025-10-01,2025-10-01,0,Others,business,persona_x_initial_plan,6,6,6,0,100.0,100.0,0.0,1.0,477.95256366522227873000,79.65876061087037
2025-10-01,2025-10-01,0,Others,free,persona_x_initial_plan,59,59,59,0,100.0,100.0,0.0,1.0,1707.23183782586830288093,28.936132844506243
2025-10-01,2025-10-01,0,Others,plus,persona_x_initial_plan,34,34,34,0,100.0,100.0,0.0,1.0,1118.29485788898208482427,32.89102523202888
2025-10-01,2025-10-01,0,Others,start,persona_x_initial_plan,92,92,92,0,100.0,100.0,0.0,1.0,1667.46539174948908047336,18.12462382336401
2025-10-01,2025-10-01,0,Professeur,free,persona_x_initial_plan,12,12,12,0,100.0,100.0,0.0,1.0,128.26939399285228624650,10.689116166071024
2025-10-01,2025-10-01,0,Professeur,plus,persona_x_initial_plan,1,1,1,0,100.0,100.0,0.0,1.0,0.54936986301369872000,0.5493698630136987
2025-10-01,2025-10-01,0,Professeur,start,persona_x_initial_plan,21,21,21,0,100.0,100.0,0.0,1.0,78.41321930270188041900,3.7339628239381843
2025-10-01,2025-10-01,0,Repair,free,persona_x_initial_plan,3,3,3,0,100.0,100.0,0.0,1.0,138.54418305101560620280,46.181394350338536
2025-10-01,2025-10-01,0,Repair,plus,persona_x_initial_plan,1,1,1,0,100.0,100.0,0.0,1.0,17.80104044394788773000,17.801040443947887
2025-10-01,2025-10-01,0,Repair,start,persona_x_initial_plan,4,4,4,0,100.0,100.0,0.0,1.0,20.76342732881420011000,5.19085683220355
2025-10-01,2025-10-01,0,Restauration,free,persona_x_initial_plan,9,9,9,0,100.0,100.0,0.0,1.0,165.17762419751720115930,18.353069355279686
2025-10-01,2025-10-01,0,Restauration,plus,persona_x_initial_plan,12,12,12,0,100.0,100.0,0.0,1.0,806.28584172652318450260,67.19048681054359
2025-10-01,2025-10-01,0,Restauration,start,persona_x_initial_plan,7,7,7,0,100.0,100.0,0.0,1.0,245.93389024740792187700,35.133412892486845
2025-10-01,2025-10-01,0,Retail,business,persona_x_initial_plan,1,1,1,0,100.0,100.0,0.0,1.0,147.57774928421034790000,147.57774928421034
2025-10-01,2025-10-01,0,Retail,free,persona_x_initial_plan,49,49,49,0,100.0,100.0,0.0,1.0,1076.08659431227044090500,21.960950904332048
2025-10-01,2025-10-01,0,Retail,plus,persona_x_initial_plan,25,25,25,0,100.0,100.0,0.0,1.0,2284.73358884403999711673,91.38934355376159
2025-10-01,2025-10-01,0,Retail,start,persona_x_initial_plan,82,82,82,0,100.0,100.0,0.0,1.0,1568.06657283980909628389,19.122763083412305
2025-10-01,2025-10-01,0,Wholesale,business,persona_x_initial_plan,1,1,1,0,100.0,100.0,0.0,1.0,1.51183165369863000000,1.5118316536986298
2025-10-01,2025-10-01,0,Wholesale,free,persona_x_initial_plan,6,6,6,0,100.0,100.0,0.0,1.0,299.30829014104638679976,49.88471502350773
2025-10-01,2025-10-01,0,Wholesale,plus,persona_x_initial_plan,3,3,3,0,100.0,100.0,0.0,1.0,33.55940567241281826000,11.186468557470938
2025-10-01,2025-10-01,0,Wholesale,start,persona_x_initial_plan,13,13,13,0,100.0,100.0,0.0,1.0,121.48312242880829195770,9.344855571446791
2025-10-01,2025-11-01,1,ALL,business,initial_plan,28,25,25,0,89.29,89.29,0.0,2.0,3896.54051926766077766575,139.16216140241644
2025-10-01,2025-11-01,1,ALL,free,initial_plan,409,391,391,0,95.6,95.6,0.0,2.0,9715.14491725226203947449,23.753410555629003
2025-10-01,2025-11-01,1,ALL,plus,initial_plan,211,200,199,1,94.79,94.31,0.47,2.0,14079.13530985986503764296,66.72575976236902
2025-10-01,2025-11-01,1,ALL,start,initial_plan,548,537,537,0,97.99,97.99,0.0,2.0,21858.15389772821700878351,39.88714214913908
2025-10-01,2025-11-01,1,ALL,ALL,overall,1196,1153,1152,1,96.4,96.32,0.08,2.0,49548.97464410800486356671,41.428908565307694
2025-10-01,2025-11-01,1,Automobile_Trade_Repair,ALL,persona,53,53,53,0,100.0,100.0,0.0,2.0,3047.73340827387294581555,57.50440392969572
2025-10-01,2025-11-01,1,BTP,ALL,persona,240,229,228,1,95.42,95.0,0.42,2.0,20417.57511171400849184260,85.0732296321417
2025-10-01,2025-11-01,1,Bankers_Insurance,ALL,persona,15,14,14,0,93.33,93.33,0.0,2.0,438.40114305634008954730,29.226742870422676
2025-10-01,2025-11-01,1,Bikers_Drivers,ALL,persona,100,92,92,0,92.0,92.0,0.0,2.0,3482.88706532971524613253,34.82887065329715
2025-10-01,2025-11-01,1,Cleaning_CallCenters,ALL,persona,6,6,6,0,100.0,100.0,0.0,2.0,56.77721512426079049518,9.462869187376798
2025-10-01,2025-11-01,1,Consultant,ALL,persona,202,197,197,0,97.52,97.52,0.0,2.0,6502.86330577688441869731,32.19239260285587
2025-10-01,2025-11-01,1,Developer_IT,ALL,persona,91,84,84,0,92.31,92.31,0.0,2.0,1837.08433766079213969640,20.18773997429442
2025-10-01,2025-11-01,1,Media_Publishing,ALL,persona,34,32,32,0,94.12,94.12,0.0,2.0,1591.83301026964005592419,46.81861794910706
2025-10-01,2025-11-01,1,Medical_Professionals,ALL,persona,14,14,14,0,100.0,100.0,0.0,2.0,313.74497399542523361300,22.410355285387517
2025-10-01,2025-11-01,1,Others,ALL,persona,191,185,185,0,96.86,96.86,0.0,2.0,5519.92807552558107450365,28.90014699228053
2025-10-01,2025-11-01,1,Professeur,ALL,persona,34,34,34,0,100.0,100.0,0.0,2.0,761.88511120336501162632,22.408385623628384
2025-10-01,2025-11-01,1,Repair,ALL,persona,8,8,8,0,100.0,100.0,0.0,2.0,126.75816229849804230860,15.844770287312254
2025-10-01,2025-11-01,1,Restauration,ALL,persona,28,27,27,0,96.43,96.43,0.0,2.0,702.98423555428857861420,25.106579841224594
2025-10-01,2025-11-01,1,Retail,ALL,persona,157,155,155,0,98.73,98.73,0.0,2.0,3805.72895779225620311068,24.240311833071694
2025-10-01,2025-11-01,1,Wholesale,ALL,persona,23,23,23,0,100.0,100.0,0.0,2.0,942.79053053307654163920,40.990892631872896
2025-10-01,2025-11-01,1,Automobile_Trade_Repair,business,persona_x_initial_plan,5,5,5,0,100.0,100.0,0.0,2.0,605.66950739349104517375,121.1339014786982
2025-10-01,2025-11-01,1,Automobile_Trade_Repair,free,persona_x_initial_plan,15,15,15,0,100.0,100.0,0.0,2.0,403.31862908718776318700,26.88790860581252
2025-10-01,2025-11-01,1,Automobile_Trade_Repair,plus,persona_x_initial_plan,11,11,11,0,100.0,100.0,0.0,2.0,1424.91101979076948886290,129.5373654355245
2025-10-01,2025-11-01,1,Automobile_Trade_Repair,start,persona_x_initial_plan,22,22,22,0,100.0,100.0,0.0,2.0,613.83425200242464859190,27.901556909201123
2025-10-01,2025-11-01,1,BTP,business,persona_x_initial_plan,8,7,7,0,87.5,87.5,0.0,2.0,1595.05155112819044221000,199.3814438910238
2025-10-01,2025-11-01,1,BTP,free,persona_x_initial_plan,73,69,69,0,94.52,94.52,0.0,2.0,4999.91796034259417823650,68.49202685400815
2025-10-01,2025-11-01,1,BTP,plus,persona_x_initial_plan,68,64,63,1,94.12,92.65,1.47,1.98,5789.01998511830912147097,85.13264683997512
2025-10-01,2025-11-01,1,BTP,start,persona_x_initial_plan,91,89,89,0,97.8,97.8,0.0,2.0,8033.58561512491474992513,88.28116060576829
2025-10-01,2025-11-01,1,Bankers_Insurance,free,persona_x_initial_plan,8,7,7,0,87.5,87.5,0.0,2.0,86.41553017902035504730,10.801941272377544
2025-10-01,2025-11-01,1,Bankers_Insurance,start,persona_x_initial_plan,7,7,7,0,100.0,100.0,0.0,2.0,351.98561287731973450000,50.28365898247425
2025-10-01,2025-11-01,1,Bikers_Drivers,business,persona_x_initial_plan,5,5,5,0,100.0,100.0,0.0,2.0,622.24778171061233569800,124.44955634212246
2025-10-01,2025-11-01,1,Bikers_Drivers,free,persona_x_initial_plan,36,33,33,0,91.67,91.67,0.0,2.0,425.56747766555084615734,11.821318824043079
2025-10-01,2025-11-01,1,Bikers_Drivers,plus,persona_x_initial_plan,26,23,23,0,88.46,88.46,0.0,2.0,1751.22618380821673441019,67.35485322339295
2025-10-01,2025-11-01,1,Bikers_Drivers,start,persona_x_initial_plan,33,31,31,0,93.94,93.94,0.0,2.0,683.84562214533532986700,20.722594610464707
2025-10-01,2025-11-01,1,Cleaning_CallCenters,free,persona_x_initial_plan,4,4,4,0,100.0,100.0,0.0,2.0,1.68629771835616449518,0.4215744295890411
2025-10-01,2025-11-01,1,Cleaning_CallCenters,start,persona_x_initial_plan,2,2,2,0,100.0,100.0,0.0,2.0,55.09091740590462600000,27.545458702952313
2025-10-01,2025-11-01,1,Consultant,business,persona_x_initial_plan,2,2,2,0,100.0,100.0,0.0,2.0,137.42665616884718270000,68.7133280844236
2025-10-01,2025-11-01,1,Consultant,free,persona_x_initial_plan,80,77,77,0,96.25,96.25,0.0,2.0,1250.25692651540122009820,15.628211581442514
2025-10-01,2025-11-01,1,Consultant,plus,persona_x_initial_plan,15,15,15,0,100.0,100.0,0.0,2.0,1403.48549768532187337900,93.56569984568813
2025-10-01,2025-11-01,1,Consultant,start,persona_x_initial_plan,105,103,103,0,98.1,98.1,0.0,2.0,3711.69422540731414252011,35.34946881340299
2025-10-01,2025-11-01,1,Developer_IT,free,persona_x_initial_plan,35,31,31,0,88.57,88.57,0.0,2.0,472.33819432250862823440,13.495376980643103
2025-10-01,2025-11-01,1,Developer_IT,plus,persona_x_initial_plan,13,12,12,0,92.31,92.31,0.0,2.0,410.35947110452452370000,31.566113161886502
2025-10-01,2025-11-01,1,Developer_IT,start,persona_x_initial_plan,43,41,41,0,95.35,95.35,0.0,2.0,954.38667223375898776200,22.195038889157185
2025-10-01,2025-11-01,1,Media_Publishing,free,persona_x_initial_plan,15,14,14,0,93.33,93.33,0.0,2.0,83.83684703989817688219,5.589123135993211
2025-10-01,2025-11-01,1,Media_Publishing,plus,persona_x_initial_plan,1,1,1,0,100.0,100.0,0.0,2.0,296.53974248362426700000,296.53974248362425
2025-10-01,2025-11-01,1,Media_Publishing,start,persona_x_initial_plan,18,17,17,0,94.44,94.44,0.0,2.0,1211.45642074611761204200,67.30313448589543
2025-10-01,2025-11-01,1,Medical_Professionals,free,persona_x_initial_plan,5,5,5,0,100.0,100.0,0.0,2.0,75.68744391915191360000,15.137488783830383
2025-10-01,2025-11-01,1,Medical_Professionals,plus,persona_x_initial_plan,1,1,1,0,100.0,100.0,0.0,2.0,35.60530807557556980000,35.60530807557557
2025-10-01,2025-11-01,1,Medical_Professionals,start,persona_x_initial_plan,8,8,8,0,100.0,100.0,0.0,2.0,202.45222200069775021300,25.30652775008722
2025-10-01,2025-11-01,1,Others,business,persona_x_initial_plan,6,5,5,0,83.33,83.33,0.0,2.0,847.87855762706771708400,141.31309293784463
2025-10-01,2025-11-01,1,Others,free,persona_x_initial_plan,59,58,58,0,98.31,98.31,0.0,2.0,744.51836035563893878076,12.618955260265066
2025-10-01,2025-11-01,1,Others,plus,persona_x_initial_plan,34,32,32,0,94.12,94.12,0.0,2.0,1072.87223673391237123651,31.55506578629154
2025-10-01,2025-11-01,1,Others,start,persona_x_initial_plan,92,90,90,0,97.83,97.83,0.0,2.0,2854.65892080896204740238,31.028901313140892
2025-10-01,2025-11-01,1,Professeur,free,persona_x_initial_plan,12,12,12,0,100.0,100.0,0.0,2.0,95.36664944140479727932,7.947220786783734
2025-10-01,2025-11-01,1,Professeur,plus,persona_x_initial_plan,1,1,1,0,100.0,100.0,0.0,2.0,28.99907945205479590000,28.999079452054797
2025-10-01,2025-11-01,1,Professeur,start,persona_x_initial_plan,21,21,21,0,100.0,100.0,0.0,2.0,637.51938230990541844700,30.35806582428121
2025-10-01,2025-11-01,1,Repair,free,persona_x_initial_plan,3,3,3,0,100.0,100.0,0.0,2.0,5.17164555569076662860,1.7238818518969223
2025-10-01,2025-11-01,1,Repair,plus,persona_x_initial_plan,1,1,1,0,100.0,100.0,0.0,2.0,37.72724009995606137000,37.72724009995606
2025-10-01,2025-11-01,1,Repair,start,persona_x_initial_plan,4,4,4,0,100.0,100.0,0.0,2.0,83.85927664285121431000,20.964819160712803
2025-10-01,2025-11-01,1,Restauration,free,persona_x_initial_plan,9,9,9,0,100.0,100.0,0.0,2.0,108.98168707015497170820,12.10907634112833
2025-10-01,2025-11-01,1,Restauration,plus,persona_x_initial_plan,12,11,11,0,91.67,91.67,0.0,2.0,431.74591066732336076300,35.97882588894361
2025-10-01,2025-11-01,1,Restauration,start,persona_x_initial_plan,7,7,7,0,100.0,100.0,0.0,2.0,162.25663781681024614300,23.17951968811575
2025-10-01,2025-11-01,1,Retail,business,persona_x_initial_plan,1,0,0,0,0.0,0.0,0.0,,0.00000000000000000000,0.0
2025-10-01,2025-11-01,1,Retail,free,persona_x_initial_plan,49,48,48,0,97.96,97.96,0.0,2.0,788.23001635183842145620,16.086326864323233
2025-10-01,2025-11-01,1,Retail,plus,persona_x_initial_plan,25,25,25,0,100.0,100.0,0.0,2.0,1098.94735910125145414739,43.95789436405006
2025-10-01,2025-11-01,1,Retail,start,persona_x_initial_plan,82,82,82,0,100.0,100.0,0.0,2.0,1918.55158233916632750709,23.396970516331297
2025-10-01,2025-11-01,1,Wholesale,business,persona_x_initial_plan,1,1,1,0,100.0,100.0,0.0,2.0,88.26646523945205480000,88.26646523945206
2025-10-01,2025-11-01,1,Wholesale,free,persona_x_initial_plan,6,6,6,0,100.0,100.0,0.0,2.0,173.85125168786489768330,28.97520861464415
2025-10-01,2025-11-01,1,Wholesale,plus,persona_x_initial_plan,3,3,3,0,100.0,100.0,0.0,2.0,297.69627573902541560300,99.23209191300846
2025-10-01,2025-11-01,1,Wholesale,start,persona_x_initial_plan,13,13,13,0,100.0,100.0,0.0,2.0,382.97653786673417355290,29.459733682056477
2025-10-01,2025-12-01,2,ALL,business,initial_plan,28,22,22,0,78.57,78.57,0.0,3.0,3045.27135478281828306069,108.75969124224352
2025-10-01,2025-12-01,2,ALL,free,initial_plan,409,377,374,3,92.18,91.44,0.73,2.98,10530.76252720225661895725,25.74758564108131
2025-10-01,2025-12-01,2,ALL,plus,initial_plan,211,184,182,2,87.2,86.26,0.95,2.98,12679.33415877194776506863,60.09163108422724
2025-10-01,2025-12-01,2,ALL,start,initial_plan,548,518,516,2,94.53,94.16,0.36,2.99,24069.00288757720974022224,43.92153811601681
2025-10-01,2025-12-01,2,ALL,ALL,overall,1196,1101,1094,7,92.06,91.47,0.59,2.99,50324.37092833423240730881,42.07723321767076
2025-10-01,2025-12-01,2,Automobile_Trade_Repair,ALL,persona,53,49,49,0,92.45,92.45,0.0,3.0,3492.15675444798698901429,65.88975008392428
2025-10-01,2025-12-01,2,BTP,ALL,persona,240,218,217,1,90.83,90.42,0.42,3.0,16045.91673905997574804502,66.8579864127499
2025-10-01,2025-12-01,2,Bankers_Insurance,ALL,persona,15,14,13,1,93.33,86.67,6.67,2.86,1048.36278867779624645610,69.89085257851976
2025-10-01,2025-12-01,2,Bikers_Drivers,ALL,persona,100,83,82,1,83.0,82.0,1.0,2.98,3575.37053318058272826093,35.753705331805826
2025-10-01,2025-12-01,2,Cleaning_CallCenters,ALL,persona,6,6,6,0,100.0,100.0,0.0,3.0,54.47727604842164204200,9.079546008070274
2025-10-01,2025-12-01,2,Consultant,ALL,persona,202,194,192,2,96.04,95.05,0.99,2.98,8356.65959267989793307220,41.36960194395989
2025-10-01,2025-12-01,2,Developer_IT,ALL,persona,91,79,79,0,86.81,86.81,0.0,3.0,2334.88701054059013768544,25.658099016929558
2025-10-01,2025-12-01,2,Media_Publishing,ALL,persona,34,33,32,1,97.06,94.12,2.94,2.94,1200.49527482723993309031,35.30868455374235
2025-10-01,2025-12-01,2,Medical_Professionals,ALL,persona,14,14,14,0,100.0,100.0,0.0,3.0,620.13390843116817104200,44.29527917365487
2025-10-01,2025-12-01,2,Others,ALL,persona,191,176,176,0,92.15,92.15,0.0,3.0,5192.54846433466467807082,27.186117614317617
2025-10-01,2025-12-01,2,Professeur,ALL,persona,34,32,32,0,94.12,94.12,0.0,3.0,803.37683496855727636330,23.628730440251687
2025-10-01,2025-12-01,2,Repair,ALL,persona,8,7,7,0,87.5,87.5,0.0,3.0,130.34888137178198491090,16.293610171472746
2025-10-01,2025-12-01,2,Restauration,ALL,persona,28,27,26,1,96.43,92.86,3.57,2.93,816.82199593509362200830,29.172214140539058
2025-10-01,2025-12-01,2,Retail,ALL,persona,157,149,149,0,94.9,94.9,0.0,3.0,5477.94691875822029260940,34.891381648141525
2025-10-01,2025-12-01,2,Wholesale,ALL,persona,23,20,20,0,86.96,86.96,0.0,3.0,1174.86795507225502463780,51.08121543792413
2025-10-01,2025-12-01,2,Automobile_Trade_Repair,business,persona_x_initial_plan,5,5,5,0,100.0,100.0,0.0,3.0,734.12216739419716709669,146.82443347883944
2025-10-01,2025-12-01,2,Automobile_Trade_Repair,free,persona_x_initial_plan,15,14,14,0,93.33,93.33,0.0,3.0,494.99588075054423701900,32.999725383369615
2025-10-01,2025-12-01,2,Automobile_Trade_Repair,plus,persona_x_initial_plan,11,10,10,0,90.91,90.91,0.0,3.0,1677.12930112784321991000,152.46630010253122
2025-10-01,2025-12-01,2,Automobile_Trade_Repair,start,persona_x_initial_plan,22,20,20,0,90.91,90.91,0.0,3.0,585.90940517540236498860,26.63224568979102
2025-10-01,2025-12-01,2,BTP,business,persona_x_initial_plan,8,6,6,0,75.0,75.0,0.0,3.0,856.18869225744752368200,107.02358653218094
2025-10-01,2025-12-01,2,BTP,free,persona_x_initial_plan,73,68,68,0,93.15,93.15,0.0,3.0,3857.10584682214036773372,52.83706639482384
2025-10-01,2025-12-01,2,BTP,plus,persona_x_initial_plan,68,58,57,1,85.29,83.82,1.47,2.98,4587.15948816125087680970,67.45822776707722
2025-10-01,2025-12-01,2,BTP,start,persona_x_initial_plan,91,86,86,0,94.51,94.51,0.0,3.0,6745.46271181913697981960,74.12596386614436
2025-10-01,2025-12-01,2,Bankers_Insurance,free,persona_x_initial_plan,8,8,7,1,100.0,87.5,12.5,2.75,193.91789200129225345610,24.23973650016153
2025-10-01,2025-12-01,2,Bankers_Insurance,start,persona_x_initial_plan,7,6,6,0,85.71,85.71,0.0,3.0,854.44489667650399300000,122.063556668072
2025-10-01,2025-12-01,2,Bikers_Drivers,business,persona_x_initial_plan,5,4,4,0,80.0,80.0,0.0,3.0,288.41907421121481454900,57.68381484224297
2025-10-01,2025-12-01,2,Bikers_Drivers,free,persona_x_initial_plan,36,31,30,1,86.11,83.33,2.78,2.94,483.07328169075708772430,13.418702269187698
2025-10-01,2025-12-01,2,Bikers_Drivers,plus,persona_x_initial_plan,26,19,19,0,73.08,73.08,0.0,3.0,1083.19796299838403813333,41.66146011532247
2025-10-01,2025-12-01,2,Bikers_Drivers,start,persona_x_initial_plan,33,29,29,0,87.88,87.88,0.0,3.0,1720.68021428022678785430,52.14182467515839
2025-10-01,2025-12-01,2,Cleaning_CallCenters,free,persona_x_initial_plan,4,4,4,0,100.0,100.0,0.0,3.0,12.15224837808219654200,3.038062094520549
2025-10-01,2025-12-01,2,Cleaning_CallCenters,start,persona_x_initial_plan,2,2,2,0,100.0,100.0,0.0,3.0,42.32502767033944550000,21.162513835169722
2025-10-01,2025-12-01,2,Consultant,business,persona_x_initial_plan,2,1,1,0,50.0,50.0,0.0,3.0,482.33559279416243390000,241.16779639708122
2025-10-01,2025-12-01,2,Consultant,free,persona_x_initial_plan,80,76,75,1,95.0,93.75,1.25,2.97,1914.51824683809710176090,23.931478085476215
2025-10-01,2025-12-01,2,Consultant,plus,persona_x_initial_plan,15,15,15,0,100.0,100.0,0.0,3.0,1361.78908133867963447500,90.78593875591197
