account_health_state,persona,initial_subscription_group,segment_level,companies,cutoff_month_revenue,cumulative_revenue,comparable_segment_companies,comparable_segment_company_share_pct
Healthy revenue account,Bankers_Insurance,start,persona_x_initial_plan,24,1158.65106538520412868300,5902.95515669491323073900,29,82.76
Watch - revenue declining,Bankers_Insurance,start,persona_x_initial_plan,3,49.87779932273972246600,2022.54910892227847253300,29,10.34
Churned proxy,Bankers_Insurance,start,persona_x_initial_plan,2,0.00000000000000000000,171.95566833631771738000,29,6.9
Healthy revenue account,Bikers_Drivers,business,persona_x_initial_plan,5,1086.49942490903836574220,4311.28011386885212334790,16,31.25
Watch - revenue declining,Bikers_Drivers,business,persona_x_initial_plan,4,1154.03454774848966198000,7109.77000474328701151170,16,25.0
Churned proxy,Bikers_Drivers,business,persona_x_initial_plan,7,0.00000000000000000000,1348.68609865281769086858,16,43.75
Healthy revenue account,Bikers_Drivers,free,persona_x_initial_plan,100,1764.00212576657065369353,8211.74360451297586706947,154,64.94
Watch - revenue declining,Bikers_Drivers,free,persona_x_initial_plan,6,60.22645895342449725040,1425.42010259195278011750,154,3.9
Recovered / monitor,Bikers_Drivers,free,persona_x_initial_plan,6,59.51833566082179178091,853.60639807430967609109,154,3.9
At-risk,Bikers_Drivers,free,persona_x_initial_plan,12,0.00000000000000000000,1003.33057309089855892359,154,7.79
Churned proxy,Bikers_Drivers,free,persona_x_initial_plan,28,0.00000000000000000000,1187.72659571030863456374,154,18.18
Never monetized,Bikers_Drivers,free,persona_x_initial_plan,2,0.00000000000000000000,,154,1.3
Healthy revenue account,Bikers_Drivers,plus,persona_x_initial_plan,43,3456.87148220571493393893,14106.52629413458610213417,83,51.81
Watch - revenue declining,Bikers_Drivers,plus,persona_x_initial_plan,10,314.63697683452026126400,3390.50510083396942538300,83,12.05
At-risk,Bikers_Drivers,plus,persona_x_initial_plan,8,0.00000000000000000000,1354.15104414743733919540,83,9.64
Churned proxy,Bikers_Drivers,plus,persona_x_initial_plan,21,0.00000000000000000000,3219.67336388810593678538,83,25.3
Never monetized,Bikers_Drivers,plus,persona_x_initial_plan,1,0.00000000000000000000,,83,1.2
Healthy revenue account,Bikers_Drivers,start,persona_x_initial_plan,108,3550.53415620430687817848,15188.58247171081264522069,156,69.23
Watch - revenue declining,Bikers_Drivers,start,persona_x_initial_plan,19,451.17035264986238209500,5256.95231959816321718924,156,12.18
Recovered / monitor,Bikers_Drivers,start,persona_x_initial_plan,2,0.00178451726027397277,123.96856382257249733622,156,1.28
At-risk,Bikers_Drivers,start,persona_x_initial_plan,6,0.00000000000000000000,1695.84497308443630716220,156,3.85
Churned proxy,Bikers_Drivers,start,persona_x_initial_plan,21,0.00000000000000000000,1053.73004063682610263800,156,13.46
Healthy revenue account,Cleaning_CallCenters,business,persona_x_initial_plan,1,81.83962976328767120000,507.37012210734187992200,1,100.0
Healthy revenue account,Cleaning_CallCenters,free,persona_x_initial_plan,12,132.21809889862985202700,929.23196726367512027412,12,100.0
Healthy revenue account,Cleaning_CallCenters,plus,persona_x_initial_plan,5,334.30147203287628775668,1632.88078777121834437728,8,62.5
Watch - revenue declining,Cleaning_CallCenters,plus,persona_x_initial_plan,1,1.11278974246575360000,1263.56020945314961960000,8,12.5
At-risk,Cleaning_CallCenters,plus,persona_x_initial_plan,1,0.00000000000000000000,374.00055837257008986740,8,12.5
Never monetized,Cleaning_CallCenters,plus,persona_x_initial_plan,1,0.00000000000000000000,,8,12.5
Healthy revenue account,Cleaning_CallCenters,start,persona_x_initial_plan,8,220.45973261808156640300,1422.71530963931427336300,12,66.67
Watch - revenue declining,Cleaning_CallCenters,start,persona_x_initial_plan,3,36.26136957041091594000,693.22050896030767781000,12,25.0
Churned proxy,Cleaning_CallCenters,start,persona_x_initial_plan,1,0.00000000000000000000,40.52804180463955143000,12,8.33
Healthy revenue account,Consultant,business,persona_x_initial_plan,6,1181.44958313698255965650,4174.32848237560753024916,11,54.55
Watch - revenue declining,Consultant,business,persona_x_initial_plan,1,0.00073397260273972600,353.16284373960107186680,11,9.09
Churned proxy,Consultant,business,persona_x_initial_plan,4,0.00000000000000000000,468.75247393374173509560,11,36.36
Healthy revenue account,Consultant,free,persona_x_initial_plan,390,10046.29719390792883523548,48082.00722907540243008148,486,80.25
Watch - revenue declining,Consultant,free,persona_x_initial_plan,41,1157.27129176657395159750,14882.00535903306299186410,486,8.44
Recovered / monitor,Consultant,free,persona_x_initial_plan,9,78.09639146136953351250,190.39262513150617684340,486,1.85
At-risk,Consultant,free,persona_x_initial_plan,18,0.00000000000000000000,940.94906831563756012304,486,3.7
Churned proxy,Consultant,free,persona_x_initial_plan,27,0.00000000000000000000,1058.32915424257075881795,486,5.56
Never monetized,Consultant,free,persona_x_initial_plan,1,0.00000000000000000000,,486,0.21
Healthy revenue account,Consultant,plus,persona_x_initial_plan,62,6531.74131773980688252540,30698.63801114920900903500,84,73.81
Watch - revenue declining,Consultant,plus,persona_x_initial_plan,8,762.03628152094311520420,6497.13315491560469952400,84,9.52
Recovered / monitor,Consultant,plus,persona_x_initial_plan,1,25.00424104328767123400,132.35986379471630107590,84,1.19
At-risk,Consultant,plus,persona_x_initial_plan,5,0.00000000000000000000,546.73232548226889351691,84,5.95
Churned proxy,Consultant,plus,persona_x_initial_plan,8,0.00000000000000000000,1133.29419674364007382470,84,9.52
Healthy revenue account,Consultant,start,persona_x_initial_plan,424,23306.77807920910574737984,101031.29952530939121104013,516,82.17
Watch - revenue declining,Consultant,start,persona_x_initial_plan,47,3802.25318295943935427750,30237.57863466722731479169,516,9.11
Recovered / monitor,Consultant,start,persona_x_initial_plan,4,-9.09966480273974861800,251.04682443246573906000,516,0.78
