account_health_state,persona,initial_subscription_group,segment_level,companies,cutoff_month_revenue,cumulative_revenue,last_observed_month_revenue,segment_company_share_pct
Never monetized,Developer_IT,start,persona_x_initial_plan,4,0.00000000000000000000,,,0.62
Healthy / stable,Media_Publishing,business,persona_x_initial_plan,2,254.70924706082143288800,897.59619611975855074600,254.70924706082143288800,50.0
Insufficient history,Media_Publishing,business,persona_x_initial_plan,1,50.82887613972577820000,50.82887613972577820000,50.82887613972577820000,25.0
At-risk,Media_Publishing,business,persona_x_initial_plan,1,0.00000000000000000000,80.23288439671232791618,80.00018859561643835618,25.0
Healthy / stable,Media_Publishing,free,persona_x_initial_plan,81,1147.50043529862688079494,5443.74191161583322247774,1147.50043529862688079494,27.93
Declining - low exposure,Media_Publishing,free,persona_x_initial_plan,20,45.13090568164378206080,1043.71381014567877798480,45.13090568164378206080,6.9
Material Watch,Media_Publishing,free,persona_x_initial_plan,2,13.58385144602738830000,414.42466624821858910000,13.58385144602738830000,0.69
Recovered / monitor,Media_Publishing,free,persona_x_initial_plan,6,69.62466703013690480730,215.05938624556342299570,69.62466703013690480730,2.07
Insufficient history,Media_Publishing,free,persona_x_initial_plan,163,2528.97835243451672983249,5949.60975406683953221582,2528.97835243451672983249,56.21
At-risk,Media_Publishing,free,persona_x_initial_plan,13,0.00000000000000000000,171.39135977917797124000,35.23218332767113212886,4.48
Churned proxy,Media_Publishing,free,persona_x_initial_plan,5,0.00000000000000000000,0.98658441808219200728,0.66545836493150706768,1.72
Healthy / stable,Media_Publishing,plus,persona_x_initial_plan,10,1746.63238959616213760000,7651.68790427246104581000,1746.63238959616213760000,25.64
Material Watch,Media_Publishing,plus,persona_x_initial_plan,2,51.63189513315068509318,743.27490599179862564918,51.63189513315068509318,5.13
Recovered / monitor,Media_Publishing,plus,persona_x_initial_plan,2,205.25022498739726029000,721.16368912986301585800,205.25022498739726029000,5.13
Insufficient history,Media_Publishing,plus,persona_x_initial_plan,23,2243.84967352766222943062,5418.29212709422975309500,2243.84967352766222943062,58.97
At-risk,Media_Publishing,plus,persona_x_initial_plan,1,0.00000000000000000000,224.53131874964287495050,0.00046524054794520550,2.56
Churned proxy,Media_Publishing,plus,persona_x_initial_plan,1,0.00000000000000000000,25.03372435104248640533,25.03372435104248640533,2.56
Healthy / stable,Media_Publishing,start,persona_x_initial_plan,77,4751.34190519615789566931,20965.31948118240460162489,4751.34190519615789566931,24.52
Declining - low exposure,Media_Publishing,start,persona_x_initial_plan,4,40.92463072876710696100,498.72558009718349122566,40.92463072876710696100,1.27
Material Watch,Media_Publishing,start,persona_x_initial_plan,9,537.44927853095775673380,5162.96552409530968716180,537.44927853095775673380,2.87
Recovered / monitor,Media_Publishing,start,persona_x_initial_plan,4,66.50335301863000596800,146.10022032612768477000,66.50335301863000596800,1.27
Insufficient history,Media_Publishing,start,persona_x_initial_plan,207,7129.73261428205934258730,15568.51774533517232856294,7129.73261428205934258730,65.92
At-risk,Media_Publishing,start,persona_x_initial_plan,9,0.00000000000000000000,437.76428487266954990021,101.43055191287661896707,2.87
Churned proxy,Media_Publishing,start,persona_x_initial_plan,3,0.00000000000000000000,246.49519287945205574430,188.26723095068492842430,0.96
Never monetized,Media_Publishing,start,persona_x_initial_plan,1,0.00000000000000000000,,,0.32
Healthy / stable,Medical_Professionals,free,persona_x_initial_plan,26,675.46870939068464104300,3163.32184992536699139384,675.46870939068464104300,26.26
Material Watch,Medical_Professionals,free,persona_x_initial_plan,1,0.17276769589041102000,94.14156456767082180000,0.17276769589041102000,1.01
Recovered / monitor,Medical_Professionals,free,persona_x_initial_plan,1,1.62223223342465790000,5.09527998465753503000,1.62223223342465790000,1.01
Insufficient history,Medical_Professionals,free,persona_x_initial_plan,68,1076.33325362246397270800,2149.77871260328369287100,1076.33325362246397270800,68.69
At-risk,Medical_Professionals,free,persona_x_initial_plan,3,0.00000000000000000000,29.72672859858073591220,9.23773931780821739120,3.03
Healthy / stable,Medical_Professionals,plus,persona_x_initial_plan,4,693.18616296328689310000,2604.03021492042137207600,693.18616296328689310000,40.0
Material Watch,Medical_Professionals,plus,persona_x_initial_plan,1,267.92508255232789680000,3223.22406870691839150000,267.92508255232789680000,10.0
Insufficient history,Medical_Professionals,plus,persona_x_initial_plan,4,694.35975691342303310000,1093.70625449479273630357,694.35975691342303310000,40.0
At-risk,Medical_Professionals,plus,persona_x_initial_plan,1,0.00000000000000000000,0.01323726027397260400,0.01323726027397260400,10.0
Healthy / stable,Medical_Professionals,start,persona_x_initial_plan,30,1381.27967698027087609650,5398.39986965361510006263,1381.27967698027087609650,26.32
Declining - low exposure,Medical_Professionals,start,persona_x_initial_plan,3,37.69324123013697634000,422.17876419576063561200,37.69324123013697634000,2.63
Material Watch,Medical_Professionals,start,persona_x_initial_plan,2,36.09595451780817143000,360.75098693582988889000,36.09595451780817143000,1.75
Insufficient history,Medical_Professionals,start,persona_x_initial_plan,73,1874.41026047099672505200,3802.40082050384337867980,1874.41026047099672505200,64.04
At-risk,Medical_Professionals,start,persona_x_initial_plan,2,0.00000000000000000000,0.02040849315068493494,0.02040849315068493494,1.75
Churned proxy,Medical_Professionals,start,persona_x_initial_plan,3,0.00000000000000000000,51.28531715071163361000,24.80921698630136975000,2.63
Never monetized,Medical_Professionals,start,persona_x_initial_plan,1,0.00000000000000000000,,,0.88
Healthy / stable,Others,business,persona_x_initial_plan,8,1674.61702028164160502310,6917.06431995363741564820,1674.61702028164160502310,12.7
Material Watch,Others,business,persona_x_initial_plan,1,183.77395843616409400000,1265.82729600328441600000,183.77395843616409400000,1.59
Insufficient history,Others,business,persona_x_initial_plan,25,2414.77210390410716113166,5513.16027839944267636088,2414.77210390410716113166,39.68
At-risk,Others,business,persona_x_initial_plan,11,0.00000000000000000000,3018.05966646569440726493,716.26917883013688092123,17.46
Churned proxy,Others,business,persona_x_initial_plan,17,0.00000000000000000000,3400.09904088706416545400,2680.33665941274668440400,26.98
Never monetized,Others,business,persona_x_initial_plan,1,0.00000000000000000000,,,1.59
Healthy / stable,Others,free,persona_x_initial_plan,250,5185.55231319420866759763,23221.65978920874235707373,5185.55231319420866759763,21.63
Declining - low exposure,Others,free,persona_x_initial_plan,44,111.46219962301342711876,2535.36736678424920076054,111.46219962301342711876,3.81
Material Watch,Others,free,persona_x_initial_plan,32,649.51773657205342926160,7944.91660786771426821914,649.51773657205342926160,2.77
Recovered / monitor,Others,free,persona_x_initial_plan,6,17.96196920328760541050,173.26013082520530705450,17.96196920328760541050,0.52
Insufficient history,Others,free,persona_x_initial_plan,738,10608.63003174634249897440,22249.83177649833652808243,10608.63003174634249897440,63.84
At-risk,Others,free,persona_x_initial_plan,54,0.00000000000000000000,1011.05645341706226987935,289.54648128109560513341,4.67
Churned proxy,Others,free,persona_x_initial_plan,30,0.00000000000000000000,1839.96321260165907722687,1040.47743241276813725093,2.6
Never monetized,Others,free,persona_x_initial_plan,2,0.00000000000000000000,,,0.17
Healthy / stable,Others,plus,persona_x_initial_plan,100,7861.73554485337727852769,33656.95918351535190690789,7861.73554485337727852769,25.13
Material Watch,Others,plus,persona_x_initial_plan,21,1455.16962934066788353100,14588.35995287469206438160,1455.16962934066788353100,5.28
Recovered / monitor,Others,plus,persona_x_initial_plan,5,103.52279909589039341358,832.24813327005293787708,103.52279909589039341358,1.26
Insufficient history,Others,plus,persona_x_initial_plan,224,14033.51168815677411976166,29558.84443090743030405273,14033.51168815677411976166,56.28
At-risk,Others,plus,persona_x_initial_plan,23,0.00000000000000000000,1612.56318981125214490440,343.25508971671191948735,5.78
Churned proxy,Others,plus,persona_x_initial_plan,24,0.00000000000000000000,1281.06545840523209568992,444.53470230215433328462,6.03
Never monetized,Others,plus,persona_x_initial_plan,1,0.00000000000000000000,,,0.25
Healthy / stable,Others,start,persona_x_initial_plan,353,16146.97329771958254896347,69189.72874296347286834247,16146.97329771958254896347,26.8
Declining - low exposure,Others,start,persona_x_initial_plan,8,70.79129498301367838170,789.59304119547457365650,70.79129498301367838170,0.61
Material Watch,Others,start,persona_x_initial_plan,31,916.16730818246417804400,9566.49292632075810946300,916.16730818246417804400,2.35
Recovered / monitor,Others,start,persona_x_initial_plan,11,170.57511719178062192800,761.63091462590462996547,170.57511719178062192800,0.84
Insufficient history,Others,start,persona_x_initial_plan,821,23130.07453642330545696495,49170.21116986870095118940,23130.07453642330545696495,62.34
At-risk,Others,start,persona_x_initial_plan,56,0.00000000000000000000,4433.56204699161882327608,1359.83008757095523455894,4.25
Churned proxy,Others,start,persona_x_initial_plan,36,0.00000000000000000000,1015.06139303385296396191,457.63082763467593298829,2.73
Never monetized,Others,start,persona_x_initial_plan,1,0.00000000000000000000,,,0.08
Insufficient history,Professeur,business,persona_x_initial_plan,2,559.61754091123164840000,1595.51295982355874360000,559.61754091123164840000,50.0
At-risk,Professeur,business,persona_x_initial_plan,1,0.00000000000000000000,272.05282477824189493880,80.18447494849315000600,25.0
Churned proxy,Professeur,business,persona_x_initial_plan,1,0.00000000000000000000,100.48462416670468273000,100.48462416670468273000,25.0
Healthy / stable,Professeur,free,persona_x_initial_plan,55,990.98661795287437997010,3947.34454070506064499698,990.98661795287437997010,22.0
Declining - low exposure,Professeur,free,persona_x_initial_plan,11,10.00148548273971990130,293.20857900296124413070,10.00148548273971990130,4.4
Material Watch,Professeur,free,persona_x_initial_plan,3,67.35960941808211876000,816.97436745825783651000,67.35960941808211876000,1.2
Recovered / monitor,Professeur,free,persona_x_initial_plan,2,6.86304459287668094000,11.47232029150681567300,6.86304459287668094000,0.8
Insufficient history,Professeur,free,persona_x_initial_plan,157,1702.82439790958608459483,3557.74326353095304299282,1702.82439790958608459483,62.8
At-risk,Professeur,free,persona_x_initial_plan,12,0.00000000000000000000,92.37440402376367075110,14.80716328054793684290,4.8
Churned proxy,Professeur,free,persona_x_initial_plan,9,0.00000000000000000000,57.37943735593100603812,13.42192227178082517252,3.6
Never monetized,Professeur,free,persona_x_initial_plan,1,0.00000000000000000000,,,0.4
Healthy / stable,Professeur,plus,persona_x_initial_plan,10,1145.76189946520361349500,3959.66652057015495564900,1145.76189946520361349500,30.3
Material Watch,Professeur,plus,persona_x_initial_plan,1,39.38049311780814019100,915.30680828602403900100,39.38049311780814019100,3.03
Recovered / monitor,Professeur,plus,persona_x_initial_plan,1,25.00321391561643835560,61.38650338488619606360,25.00321391561643835560,3.03
Insufficient history,Professeur,plus,persona_x_initial_plan,20,1109.15871986318982692237,2136.57287508729766627667,1109.15871986318982692237,60.61
At-risk,Professeur,plus,persona_x_initial_plan,1,0.00000000000000000000,675.24660148986073357548,625.24558967232648700000,3.03
Healthy / stable,Professeur,start,persona_x_initial_plan,75,2309.77621197533890427620,11736.47701754442386445742,2309.77621197533890427620,29.18
Declining - low exposure,Professeur,start,persona_x_initial_plan,1,12.65995076383561630000,68.60131683945204260000,12.65995076383561630000,0.39
Material Watch,Professeur,start,persona_x_initial_plan,12,322.25727184328703810000,2882.97550514543119220400,322.25727184328703810000,4.67
Insufficient history,Professeur,start,persona_x_initial_plan,158,3886.34518488761004136282,10882.04306292572181693438,3886.34518488761004136282,61.48
At-risk,Professeur,start,persona_x_initial_plan,6,0.00000000000000000000,123.48136711780817234010,76.45830860164380042530,2.33
Churned proxy,Professeur,start,persona_x_initial_plan,5,0.00000000000000000000,45.88356759806115915050,23.70489948959824266050,1.95
Churned proxy,Repair,business,persona_x_initial_plan,1,0.00000000000000000000,140.33490961278893600000,140.33490961278893600000,100.0
Healthy / stable,Repair,free,persona_x_initial_plan,7,12.44506540219176605070,33.60703009136044889830,12.44506540219176605070,11.11
Declining - low exposure,Repair,free,persona_x_initial_plan,3,0.89829523945205494800,38.61833482332004573200,0.89829523945205494800,4.76
Material Watch,Repair,free,persona_x_initial_plan,3,36.45670110849302837400,588.09754771032316767800,36.45670110849302837400,4.76
Recovered / monitor,Repair,free,persona_x_initial_plan,1,4.00029823561643835614,4.00029823561643835614,4.00029823561643835614,1.59
Insufficient history,Repair,free,persona_x_initial_plan,38,625.34190565533989253280,1314.99165737369491706400,625.34190565533989253280,60.32
At-risk,Repair,free,persona_x_initial_plan,5,0.00000000000000000000,65.01122994904099426420,34.77370694794519984600,7.94
Churned proxy,Repair,free,persona_x_initial_plan,5,0.00000000000000000000,185.71157443129010931253,10.00567132986301515253,7.94
Never monetized,Repair,free,persona_x_initial_plan,1,0.00000000000000000000,,,1.59
Healthy / stable,Repair,plus,persona_x_initial_plan,3,90.56432092547929701500,479.87532789956870594300,90.56432092547929701500,25.0
Insufficient history,Repair,plus,persona_x_initial_plan,8,334.99537129698570479310,763.40732688438246997060,334.99537129698570479310,66.67
At-risk,Repair,plus,persona_x_initial_plan,1,0.00000000000000000000,25.09485424657534248210,25.09153534246575344100,8.33
Healthy / stable,Repair,start,persona_x_initial_plan,16,361.26466081588998718750,1761.34995546040807785860,361.26466081588998718750,36.36
Declining - low exposure,Repair,start,persona_x_initial_plan,1,15.49982670904109260000,127.81891566182475075000,15.49982670904109260000,2.27
Material Watch,Repair,start,persona_x_initial_plan,2,20.28037253589039210000,385.38984142712383279000,20.28037253589039210000,4.55
Insufficient history,Repair,start,persona_x_initial_plan,22,521.04035224843703051230,1339.92418551787394314300,521.04035224843703051230,50.0
At-risk,Repair,start,persona_x_initial_plan,1,0.00000000000000000000,22.10634864438356166700,11.05441800328767124700,2.27
Churned proxy,Repair,start,persona_x_initial_plan,2,0.00000000000000000000,102.22554530293476875640,25.35705961753417768640,4.55
Insufficient history,Repair_Installation,business,persona_x_initial_plan,1,80.28617468493150683000,160.65011901369863012000,80.28617468493150683000,100.0
Healthy / stable,Repair_Installation,free,persona_x_initial_plan,5,146.51694282684886143000,950.67024608968377276400,146.51694282684886143000,41.67
Insufficient history,Repair_Installation,free,persona_x_initial_plan,7,107.91427764438318838800,396.37943062027273144170,107.91427764438318838800,58.33
Healthy / stable,Repair_Installation,plus,persona_x_initial_plan,1,238.38010772657435800000,647.39322700313933090000,238.38010772657435800000,16.67
Insufficient history,Repair_Installation,plus,persona_x_initial_plan,5,528.90020047561420620000,1502.46463817917284922900,528.90020047561420620000,83.33
Healthy / stable,Repair_Installation,start,persona_x_initial_plan,5,245.14511388383509200000,1040.86185360920631306000,245.14511388383509200000,26.32
Material Watch,Repair_Installation,start,persona_x_initial_plan,1,90.19505086410925200000,778.44382939375094770000,90.19505086410925200000,5.26
Insufficient history,Repair_Installation,start,persona_x_initial_plan,12,530.79141768313608123400,1302.55374531962746614200,530.79141768313608123400,63.16
At-risk,Repair_Installation,start,persona_x_initial_plan,1,0.00000000000000000000,70.82263863999996320800,11.01212328767123287800,5.26
Insufficient history,Restauration,business,persona_x_initial_plan,2,209.50290941479426248000,477.55351121808179276000,209.50290941479426248000,66.67
Churned proxy,Restauration,business,persona_x_initial_plan,1,0.00000000000000000000,134.25513326594296120000,134.25513326594296120000,33.33
Healthy / stable,Restauration,free,persona_x_initial_plan,35,892.29835697862698797584,3859.98714767355000366770,892.29835697862698797584,22.15
Declining - low exposure,Restauration,free,persona_x_initial_plan,11,23.47526056712320595620,191.64176117010531717840,23.47526056712320595620,6.96
Material Watch,Restauration,free,persona_x_initial_plan,6,206.67598568493090618000,1512.69054802190076704300,206.67598568493090618000,3.8
Recovered / monitor,Restauration,free,persona_x_initial_plan,1,0.16128328767123287000,0.25394520547945206600,0.16128328767123287000,0.63
Insufficient history,Restauration,free,persona_x_initial_plan,87,2268.01410922303620068760,5481.49842619891632563316,2268.01410922303620068760,55.06
At-risk,Restauration,free,persona_x_initial_plan,9,0.00000000000000000000,579.85900126948768668780,38.41421215178081295180,5.7
Churned proxy,Restauration,free,persona_x_initial_plan,8,0.00000000000000000000,20.93651496865561112520,17.37402455769670678420,5.06
Never monetized,Restauration,free,persona_x_initial_plan,1,0.00000000000000000000,,,0.63
Healthy / stable,Restauration,plus,persona_x_initial_plan,26,4928.08489956860042902925,20663.56494085843227930477,4928.08489956860042902925,33.77
Material Watch,Restauration,plus,persona_x_initial_plan,3,171.01455944931473490000,1391.18374395710915500900,171.01455944931473490000,3.9
Recovered / monitor,Restauration,plus,persona_x_initial_plan,2,39.99393549479452033510,286.70585884178636766520,39.99393549479452033510,2.6
Insufficient history,Restauration,plus,persona_x_initial_plan,41,4128.53478849431438454430,9801.80728948783435543006,4128.53478849431438454430,53.25
At-risk,Restauration,plus,persona_x_initial_plan,3,0.00000000000000000000,198.75917167452018285600,107.35796549643820221600,3.9
Churned proxy,Restauration,plus,persona_x_initial_plan,2,0.00000000000000000000,628.03391287695334732065,453.46764829479220042065,2.6
Healthy / stable,Restauration,start,persona_x_initial_plan,48,2078.48829106519940484492,9546.41451835291111977922,2078.48829106519940484492,20.6
Declining - low exposure,Restauration,start,persona_x_initial_plan,1,11.50864229972602540000,62.43876069552674861000,11.50864229972602540000,0.43
Material Watch,Restauration,start,persona_x_initial_plan,13,584.13925661260104976090,5869.54478551178485804050,584.13925661260104976090,5.58
Recovered / monitor,Restauration,start,persona_x_initial_plan,1,11.00463097534246575440,79.45176756024762437520,11.00463097534246575440,0.43
Insufficient history,Restauration,start,persona_x_initial_plan,154,6877.29428048646024044940,13869.98977371217082173140,6877.29428048646024044940,66.09
At-risk,Restauration,start,persona_x_initial_plan,9,0.00000000000000000000,568.96786932393298155063,73.89526943013698307523,3.86
Churned proxy,Restauration,start,persona_x_initial_plan,6,0.00000000000000000000,292.56651189393126387130,104.63338723190030161240,2.58
Never monetized,Restauration,start,persona_x_initial_plan,1,0.00000000000000000000,,,0.43
Healthy / stable,Retail,business,persona_x_initial_plan,5,1275.02393363013273993000,5263.26701354029739044000,1275.02393363013273993000,15.63
Material Watch,Retail,business,persona_x_initial_plan,1,0.00001104109589041096,340.36710422561359147796,0.00001104109589041096,3.13
Insufficient history,Retail,business,persona_x_initial_plan,16,1389.46147777150441063974,3112.58286084437887703261,1389.46147777150441063974,50.0
At-risk,Retail,business,persona_x_initial_plan,7,0.00000000000000000000,1238.73267550136623041720,807.79011794903824935230,21.88
Churned proxy,Retail,business,persona_x_initial_plan,3,0.00000000000000000000,334.36712083599108009000,327.46933398667601209000,9.38
Healthy / stable,Retail,free,persona_x_initial_plan,215,5450.53206153368128561732,24017.81111878346593010289,5450.53206153368128561732,21.83
Declining - low exposure,Retail,free,persona_x_initial_plan,47,100.05591058082162776763,1887.70754016390351782252,100.05591058082162776763,4.77
Material Watch,Retail,free,persona_x_initial_plan,21,322.69382040328680225440,4617.20623467344631743080,322.69382040328680225440,2.13
Recovered / monitor,Retail,free,persona_x_initial_plan,10,28.43372175342458091265,407.71825607975507627254,28.43372175342458091265,1.02
Insufficient history,Retail,free,persona_x_initial_plan,606,7243.17728986463718861899,18611.25664895095540592470,7243.17728986463718861899,61.52
At-risk,Retail,free,persona_x_initial_plan,54,0.00000000000000000000,1321.93091719906863241298,520.15129369095787498591,5.48
Churned proxy,Retail,free,persona_x_initial_plan,29,0.00000000000000000000,732.79999445378576925066,272.78232126121751770069,2.94
Never monetized,Retail,free,persona_x_initial_plan,3,0.00000000000000000000,,,0.3
Healthy / stable,Retail,plus,persona_x_initial_plan,74,8987.81690631294265754846,37984.78098417935420068829,8987.81690631294265754846,25.78
Declining - low exposure,Retail,plus,persona_x_initial_plan,3,8.21438152986301289180,332.78865730381464062470,8.21438152986301289180,1.05
Material Watch,Retail,plus,persona_x_initial_plan,19,1047.30639466106603347030,12153.25589209347435931780,1047.30639466106603347030,6.62
Recovered / monitor,Retail,plus,persona_x_initial_plan,4,162.64841379397231835100,678.83095523952989471620,162.64841379397231835100,1.39
Insufficient history,Retail,plus,persona_x_initial_plan,145,10947.01961989024343778399,25592.40610252670706040433,10947.01961989024343778399,50.52
At-risk,Retail,plus,persona_x_initial_plan,19,0.00000000000000000000,2500.96112525902020253971,1101.70699475999681599834,6.62
Churned proxy,Retail,plus,persona_x_initial_plan,21,0.00000000000000000000,2241.32754086655945286495,891.07535133458262724264,7.32
Never monetized,Retail,plus,persona_x_initial_plan,2,0.00000000000000000000,,,0.7
Healthy / stable,Retail,start,persona_x_initial_plan,276,15464.67101970979532347372,74344.35848911435132039522,15464.67101970979532347372,25.05
Declining - low exposure,Retail,start,persona_x_initial_plan,14,124.14827603780816676810,1222.29870371875202822354,124.14827603780816676810,1.27
Material Watch,Retail,start,persona_x_initial_plan,45,1494.89069342629763626000,17571.96744743045299793477,1494.89069342629763626000,4.08
Recovered / monitor,Retail,start,persona_x_initial_plan,9,111.92031527068483967647,404.15227935751613733847,111.92031527068483967647,0.82
Insufficient history,Retail,start,persona_x_initial_plan,655,20726.02380133564043102804,50894.40697246458655898800,20726.02380133564043102804,59.44
At-risk,Retail,start,persona_x_initial_plan,53,0.00000000000000000000,2731.61473393415127776363,779.99228322465643413566,4.81
Churned proxy,Retail,start,persona_x_initial_plan,45,0.00000000000000000000,1445.77265176015302830212,734.73237165524497708335,4.08
Never monetized,Retail,start,persona_x_initial_plan,5,0.00000000000000000000,,,0.45
Healthy / stable,Wholesale,business,persona_x_initial_plan,6,1258.21299917807867531320,3457.65960823565479431320,1258.21299917807867531320,31.58
Material Watch,Wholesale,business,persona_x_initial_plan,2,82.58615355342465729480,958.11520011541983273220,82.58615355342465729480,10.53
Insufficient history,Wholesale,business,persona_x_initial_plan,9,783.92266023451936909000,1452.14171618684777349000,783.92266023451936909000,47.37
At-risk,Wholesale,business,persona_x_initial_plan,2,0.00000000000000000000,1389.59062210957288415500,199.70412810958888719300,10.53
Healthy / stable,Wholesale,free,persona_x_initial_plan,21,517.91942221643726851300,2066.71146767243523345450,517.91942221643726851300,15.67
Declining - low exposure,Wholesale,free,persona_x_initial_plan,7,6.30911650301369401700,346.49079202765238009500,6.30911650301369401700,5.22
Recovered / monitor,Wholesale,free,persona_x_initial_plan,1,5.44271918684930832000,168.35215612164378077000,5.44271918684930832000,0.75
Insufficient history,Wholesale,free,persona_x_initial_plan,92,3416.42405819341864577440,5778.46260188766356168230,3416.42405819341864577440,68.66
At-risk,Wholesale,free,persona_x_initial_plan,8,0.00000000000000000000,968.28350557559241738816,142.25797304712310041650,5.97
Churned proxy,Wholesale,free,persona_x_initial_plan,4,0.00000000000000000000,174.97193685721077509130,2.27214422356164379130,2.99
Never monetized,Wholesale,free,persona_x_initial_plan,1,0.00000000000000000000,,,0.75
Healthy / stable,Wholesale,plus,persona_x_initial_plan,25,2315.67773614574728528199,9910.90010372639082443812,2315.67773614574728528199,27.47
Material Watch,Wholesale,plus,persona_x_initial_plan,7,729.72878613040795707400,7217.17367613576947721070,729.72878613040795707400,7.69
Insufficient history,Wholesale,plus,persona_x_initial_plan,53,4227.40358767163068554050,9712.39009538604522416171,4227.40358767163068554050,58.24
At-risk,Wholesale,plus,persona_x_initial_plan,1,0.00000000000000000000,170.26162003451999090000,140.14721295342410780000,1.1
Churned proxy,Wholesale,plus,persona_x_initial_plan,5,0.00000000000000000000,382.04412519982174599883,75.40920872438355993783,5.49
Healthy / stable,Wholesale,start,persona_x_initial_plan,44,2682.31425306026699181570,11464.91932272220642972550,2682.31425306026699181570,23.04
Declining - low exposure,Wholesale,start,persona_x_initial_plan,6,67.06717570410958888100,617.48888844790926666400,67.06717570410958888100,3.14
Material Watch,Wholesale,start,persona_x_initial_plan,11,255.24185326684886082400,7621.04170889690038841900,255.24185326684886082400,5.76
Recovered / monitor,Wholesale,start,persona_x_initial_plan,1,28.68408034191771321000,107.14742466409594651760,28.68408034191771321000,0.52
Insufficient history,Wholesale,start,persona_x_initial_plan,115,3428.43324643398014380569,8041.84179014964234070958,3428.43324643398014380569,60.21
At-risk,Wholesale,start,persona_x_initial_plan,8,0.00000000000000000000,208.90045320628730344750,94.52138514301370302500,4.19
Churned proxy,Wholesale,start,persona_x_initial_plan,4,0.00000000000000000000,261.46285998495284101390,64.37715397479442564390,2.09
Never monetized,Wholesale,start,persona_x_initial_plan,2,0.00000000000000000000,,,1.05
