persona,initial_subscription_group,segment_level,eligible_companies,top_20pct_companies,segment_revenue,top_20pct_revenue,segment_top_20pct_penetration_pct,top_20pct_company_mix_pct,base_company_mix_pct,company_representation_index,share_of_all_top_20pct_revenue_pct
Bikers_Drivers,business,persona_x_initial_plan,23,16,10858.25893288001303212000,10458.06409350795823749960,69.57,0.88,0.25,3.48,1.36
Automobile_Trade_Repair,business,persona_x_initial_plan,17,14,9699.18729647461681504181,9617.80063854528026080451,82.35,0.77,0.19,4.12,1.25
Bankers_Insurance,free,persona_x_initial_plan,80,13,8875.96870184823679152637,7244.53757479712902610140,16.25,0.72,0.88,0.81,0.94
Media_Publishing,plus,persona_x_initial_plan,22,13,6741.17437738294625477150,6049.04988554897410632350,59.09,0.72,0.24,2.95,0.78
Restauration,free,persona_x_initial_plan,91,12,5951.63359941053878893856,3877.27390548130290909600,13.19,0.66,1.0,0.66,0.5
Bikers_Drivers,free,persona_x_initial_plan,198,11,7209.15568758762371913582,2685.00886498082615794600,5.56,0.61,2.18,0.28,0.35
Wholesale,business,persona_x_initial_plan,11,11,3957.00421210840981204000,3957.00421210840981204000,100.0,0.61,0.12,5.0,0.51
Consultant,business,persona_x_initial_plan,16,10,3461.69603259150103112590,3358.51859778711746753590,62.5,0.55,0.18,3.12,0.44
Automobile_Trade_Repair,free,persona_x_initial_plan,116,9,5228.15997604969378231167,2286.17750524120992760600,7.76,0.5,1.28,0.39,0.3
Professeur,free,persona_x_initial_plan,124,9,4138.79054925164191817841,1929.73887423223105686100,7.26,0.5,1.36,0.36,0.25
Retail,business,persona_x_initial_plan,14,9,4760.47735815312111632800,4560.22324274490201222700,64.29,0.5,0.15,3.21,0.59
Media_Publishing,free,persona_x_initial_plan,158,8,4857.49115247458922877146,1654.66301800075588430000,5.06,0.44,1.74,0.25,0.21
Bankers_Insurance,start,persona_x_initial_plan,47,7,5416.96132387576655362830,3104.49099863563595636000,14.89,0.39,0.52,0.74,0.4
Developer_IT,business,persona_x_initial_plan,9,7,1964.54067059653334593121,1841.47170303434164619121,77.78,0.39,0.1,3.89,0.24
Wholesale,free,persona_x_initial_plan,55,7,3208.86717753474113021270,2266.60076006964374298000,12.73,0.39,0.61,0.64,0.29
Cleaning_CallCenters,plus,persona_x_initial_plan,9,6,2737.55675462011971239200,2585.90568045025669830200,66.67,0.33,0.1,3.33,0.34
Medical_Professionals,start,persona_x_initial_plan,56,6,4668.45203227554831291700,1416.91653426621602080000,10.71,0.33,0.62,0.54,0.18
Bankers_Insurance,plus,persona_x_initial_plan,6,5,2144.78106146793938883000,2074.62878749533664953000,83.33,0.28,0.07,4.17,0.27
Professeur,plus,persona_x_initial_plan,16,5,3489.60761102255388609561,2480.42734062335844696261,31.25,0.28,0.18,1.56,0.32
Repair_Installation,start,persona_x_initial_plan,14,4,2208.51134643021309828300,1301.22916902811546830000,28.57,0.22,0.15,1.43,0.17
Cleaning_CallCenters,start,persona_x_initial_plan,15,3,1373.69412973934517814000,789.76733140111299274000,20.0,0.17,0.17,1.0,0.1
Medical_Professionals,free,persona_x_initial_plan,38,3,2033.19401315010560860117,979.20745254136974068100,7.89,0.17,0.42,0.39,0.13
Medical_Professionals,plus,persona_x_initial_plan,7,3,3958.36771155233595806000,3432.28101916569353010000,42.86,0.17,0.08,2.14,0.44
Repair,start,persona_x_initial_plan,29,3,2077.57369011390552439980,754.43321569353062660000,10.34,0.17,0.32,0.52,0.1
Repair_Installation,free,persona_x_initial_plan,8,3,899.89861963783553284500,770.47361846961673844000,37.5,0.17,0.09,1.87,0.1
Repair_Installation,plus,persona_x_initial_plan,4,3,1528.03683981360248171000,1447.71764606291756100000,75.0,0.17,0.04,3.75,0.19
Professeur,business,persona_x_initial_plan,3,2,1359.48583377150418090600,1359.48583377150418090600,66.67,0.11,0.03,3.33,0.18
Repair,free,persona_x_initial_plan,33,2,1177.41348964663220366760,510.49161781917596349000,6.06,0.11,0.36,0.3,0.07
Cleaning_CallCenters,business,persona_x_initial_plan,1,1,262.46665540268434500000,262.46665540268434500000,100.0,0.06,0.01,5.0,0.03
Media_Publishing,business,persona_x_initial_plan,2,1,417.50702146386862482900,409.76523031397193990000,50.0,0.06,0.02,2.5,0.05
Repair,plus,persona_x_initial_plan,6,1,529.54293198600684620310,169.62037364273930379000,16.67,0.06,0.07,0.83,0.02
Restauration,business,persona_x_initial_plan,2,1,245.76143202904106878000,245.76143202904106878000,50.0,0.06,0.02,2.5,0.03
Cleaning_CallCenters,free,persona_x_initial_plan,19,0,295.73709215063529564088,,0.0,0.0,0.21,0.0,0.0
Repair,business,persona_x_initial_plan,1,0,0.00000000000000000000,,0.0,0.0,0.01,0.0,0.0
