persona,initial_subscription_group,segment_level,eligible_companies,top_20pct_companies,segment_revenue,top_20pct_revenue,segment_top_20pct_penetration_pct,top_20pct_company_mix_pct,base_company_mix_pct,company_representation_index,share_of_all_top_20pct_revenue_pct
Retail,start,persona_x_initial_plan,577,100,86314.00345952415596633861,54221.35706181075780630762,17.33,5.5,6.35,0.87,6.01
BTP,free,persona_x_initial_plan,586,93,80111.00004436967887430409,59402.50531893121891763983,15.87,5.12,6.45,0.79,6.59
Others,start,persona_x_initial_plan,628,86,72675.90166557227058619155,35548.82207784183479256310,13.69,4.73,6.91,0.68,3.94
Developer_IT,start,persona_x_initial_plan,364,77,50737.68618920601385624018,29455.27213572160496547930,21.15,4.24,4.01,1.06,3.27
Retail,plus,persona_x_initial_plan,173,75,46732.19194266145785214212,36568.63091751571647451108,43.35,4.13,1.9,2.17,4.05
Others,plus,persona_x_initial_plan,214,72,45279.01011108816369848771,33979.88990123983126783345,33.64,3.96,2.35,1.68,3.77
Consultant,free,persona_x_initial_plan,712,62,56314.88201170333327145394,29552.32725615545955129417,8.71,3.41,7.83,0.44,3.28
Consultant,plus,persona_x_initial_plan,122,58,39004.42807190964664844221,32160.32936392614807613860,47.54,3.19,1.34,2.38,3.57
Developer_IT,free,persona_x_initial_plan,328,57,31007.92598250749923165045,19385.59977888107333100236,17.38,3.14,3.61,0.87,2.15
BTP,business,persona_x_initial_plan,56,48,35603.27364391875341348919,34611.38531377377082040249,85.71,2.64,0.62,4.28,3.84
Automobile_Trade_Repair,plus,persona_x_initial_plan,100,44,31725.27394491467223956467,25629.17724975068234374910,44.0,2.42,1.1,2.2,2.84
Bikers_Drivers,plus,persona_x_initial_plan,102,39,18493.30515902013747313299,12684.88288330618996272100,38.24,2.15,1.12,1.91,1.41
Automobile_Trade_Repair,start,persona_x_initial_plan,163,37,25896.52458443166689435441,17504.98103882572595352260,22.7,2.04,1.79,1.13,1.94
Others,free,persona_x_initial_plan,558,35,33332.93096119432819195296,12951.39523378394473622994,6.27,1.93,6.14,0.31,1.44
Bikers_Drivers,start,persona_x_initial_plan,240,31,26747.63762624497483226746,13180.64056234434900022800,12.92,1.71,2.64,0.65,1.46
Retail,free,persona_x_initial_plan,490,31,30051.13184953950329992879,12041.08540348254358993830,6.33,1.71,5.39,0.32,1.33
Media_Publishing,start,persona_x_initial_plan,155,29,23893.27400153531666614723,13890.10017422371557157730,18.71,1.6,1.71,0.94,1.54
Others,business,persona_x_initial_plan,41,27,13017.63021491351704485360,11488.85553530861006246060,65.85,1.49,0.45,3.29,1.27
Restauration,plus,persona_x_initial_plan,48,27,19882.60355360529123778907,17719.34687583739010288700,56.25,1.49,0.53,2.81,1.96
Developer_IT,plus,persona_x_initial_plan,62,25,16755.78748545996344378610,12893.78896458189248064390,40.32,1.38,0.68,2.02,1.43
Restauration,start,persona_x_initial_plan,105,24,16499.28678172899612730276,9994.38640766514988608200,22.86,1.32,1.16,1.14,1.11
Wholesale,plus,persona_x_initial_plan,47,21,16459.45972674096203632923,13450.54877043549462370070,44.68,1.16,0.52,2.23,1.49
Professeur,start,persona_x_initial_plan,135,19,15945.18210089440771314224,8018.45336087353637468000,14.07,1.05,1.49,0.7,0.89
Wholesale,start,persona_x_initial_plan,97,18,17165.92042309172777684050,11591.73765317120958105500,18.56,0.99,1.07,0.93,1.29
Bikers_Drivers,business,persona_x_initial_plan,23,17,12532.28764375591847747078,11970.70884665547816689960,73.91,0.94,0.25,3.69,1.33
Bankers_Insurance,free,persona_x_initial_plan,80,15,11341.56530380785952895561,8501.76783294788827309233,18.75,0.83,0.88,0.94,0.94
Automobile_Trade_Repair,business,persona_x_initial_plan,17,14,10962.46197720176612746361,10790.96722288644781633231,82.35,0.77,0.19,4.12,1.2
Media_Publishing,plus,persona_x_initial_plan,22,13,7587.40047280494388884983,6765.96201452842228802650,59.09,0.72,0.24,2.95,0.75
Restauration,free,persona_x_initial_plan,91,13,7408.91567900177649611376,4479.10537394588970323600,14.29,0.72,1.0,0.71,0.5
Bikers_Drivers,free,persona_x_initial_plan,198,11,11656.17921773058736096021,3437.42934378244470660420,5.56,0.61,2.18,0.28,0.38
Consultant,business,persona_x_initial_plan,16,11,4500.58985340402175806576,4201.47003066946056755816,68.75,0.61,0.18,3.44,0.47
Wholesale,business,persona_x_initial_plan,11,11,4473.25797007215774517300,4473.25797007215774517300,100.0,0.61,0.12,5.0,0.5
Automobile_Trade_Repair,free,persona_x_initial_plan,116,10,6960.51581473535752202705,3021.25007065764845706476,8.62,0.55,1.28,0.43,0.33
Retail,business,persona_x_initial_plan,14,10,5473.45187660848110609090,5137.03363674016126677800,71.43,0.55,0.15,3.57,0.57
Bankers_Insurance,start,persona_x_initial_plan,47,8,7176.22423239604606019030,4208.18470019911221301000,17.02,0.44,0.52,0.85,0.47
Developer_IT,business,persona_x_initial_plan,9,8,3904.22903438323297656586,3730.11156243802751063161,88.89,0.44,0.1,4.44,0.41
Media_Publishing,free,persona_x_initial_plan,158,8,7086.30822861913082681929,2013.18112058398912237460,5.06,0.44,1.74,0.25,0.22
Professeur,free,persona_x_initial_plan,124,8,4995.51100843857661122475,1872.35352931502229401720,6.45,0.44,1.36,0.32,0.21
Professeur,plus,persona_x_initial_plan,16,6,3763.59375407339379767748,2709.00417581441684263848,37.5,0.33,0.18,1.87,0.3
Bankers_Insurance,plus,persona_x_initial_plan,6,5,2640.88668579660354128000,2550.29232963221997998000,83.33,0.28,0.07,4.17,0.28
Cleaning_CallCenters,plus,persona_x_initial_plan,9,5,3120.44527434323949821340,2773.41370505397199405640,55.56,0.28,0.1,2.78,0.31
Wholesale,free,persona_x_initial_plan,55,5,4317.35820793727446301346,2058.58088169813713908866,9.09,0.28,0.61,0.45,0.23
Medical_Professionals,start,persona_x_initial_plan,56,4,5119.05654409044136851763,1164.57085125894352804200,7.14,0.22,0.62,0.36,0.13
Cleaning_CallCenters,start,persona_x_initial_plan,15,3,1782.58741914344076499300,898.17347418960238230000,20.0,0.17,0.17,1.0,0.1
Medical_Professionals,free,persona_x_initial_plan,38,3,2092.78117589490682875684,987.51953168876700217200,7.89,0.17,0.42,0.39,0.11
Medical_Professionals,plus,persona_x_initial_plan,7,3,4621.53870836323180589600,4083.46800832149997550000,42.86,0.17,0.08,2.14,0.45
Repair,free,persona_x_initial_plan,33,3,1486.89137560752549373269,743.07689463177833602000,9.09,0.17,0.36,0.45,0.08
Repair,start,persona_x_initial_plan,29,3,2491.20345672735898758370,788.12692003873680202000,10.34,0.17,0.32,0.52,0.09
Repair_Installation,free,persona_x_initial_plan,8,3,1146.76715643872415819900,841.29007210612198709000,37.5,0.17,0.09,1.87,0.09
Repair_Installation,plus,persona_x_initial_plan,4,3,1703.29463719053303512900,1597.93676398779331990000,75.0,0.17,0.04,3.75,0.18
Repair_Installation,start,persona_x_initial_plan,14,3,2434.52785458081878675600,1236.27624988361307428300,21.43,0.17,0.15,1.07,0.14
Professeur,business,persona_x_initial_plan,3,2,1590.84994541946439026880,1490.36532125275970753880,66.67,0.11,0.03,3.33,0.17
Cleaning_CallCenters,business,persona_x_initial_plan,1,1,342.55563600542407102200,342.55563600542407102200,100.0,0.06,0.01,5.0,0.04
Media_Publishing,business,persona_x_initial_plan,2,1,562.76492673510150144800,416.95362802356098090000,50.0,0.06,0.02,2.5,0.05
Restauration,business,persona_x_initial_plan,2,1,474.08813890758669676000,339.83300564164373556000,50.0,0.06,0.02,2.5,0.04
Cleaning_CallCenters,free,persona_x_initial_plan,19,0,813.47455466641506446422,,0.0,0.0,0.21,0.0,0.0
Repair,business,persona_x_initial_plan,1,0,140.33490961278893600000,,0.0,0.0,0.01,0.0,0.0
Repair,plus,persona_x_initial_plan,6,0,717.41692163710284846020,,0.0,0.0,0.07,0.0,0.0
