persona,initial_subscription_group,segment_level,eligible_companies,top_20pct_companies,segment_revenue,top_20pct_revenue,segment_top_20pct_penetration_pct,top_20pct_company_mix_pct,base_company_mix_pct,company_representation_index,share_of_all_top_20pct_revenue_pct
ALL,start,initial_plan,4012,752,592712.39207429053097267736,355747.03680108399681047725,18.74,41.36,44.15,0.94,39.44
ALL,plus,initial_plan,1286,558,369413.62061537851499119754,295955.45419399028444708407,43.39,30.69,14.15,2.17,32.81
ALL,free,initial_plan,3594,357,290124.13857219247722355711,161288.46764259192714686435,9.93,19.64,39.55,0.5,17.88
ALL,business,initial_plan,196,151,93577.77577093821424467150,88993.49770946750245125657,77.04,8.31,2.16,3.85,9.87
ALL,ALL,overall,9088,1818,1345827.92703279973743210351,901984.45634713371085568224,20.0,100.0,100.0,1.0,100.0
BTP,ALL,persona,1642,472,347088.01892371928426179907,266435.62957177214762070558,28.75,25.96,18.07,1.44,29.54
Consultant,ALL,persona,1585,272,217206.51460247821623578544,137927.12411477862990645286,17.16,14.96,17.44,0.86,15.29
Others,ALL,persona,1441,220,164305.47295276827952148582,93968.96274817422085908709,15.27,12.1,15.86,0.76,10.42
Retail,ALL,persona,1254,216,168570.77912833359822450042,107968.10701954917913753500,17.22,11.88,13.8,0.86,11.97
Developer_IT,ALL,persona,763,167,102405.62869155670950824259,65464.77244162259828775717,21.89,9.19,8.4,1.09,7.26
Automobile_Trade_Repair,ALL,persona,396,105,75544.77632128346278340974,56946.37558212050457066877,26.52,5.78,4.36,1.33,6.31
Bikers_Drivers,ALL,persona,563,98,69429.40964675161814383144,41273.66163608846183645280,17.41,5.39,6.19,0.87,4.58
Restauration,ALL,persona,246,65,44264.89415324365055796559,32532.67166309007342776500,26.42,3.58,2.71,1.32,3.61
Wholesale,ALL,persona,210,55,42415.99632784212202135619,31574.12527537699908901736,26.19,3.03,2.31,1.31,3.5
Media_Publishing,ALL,persona,337,51,39129.74762969449288326435,23086.19693735968796287840,15.13,2.81,3.71,0.76,2.56
Professeur,ALL,persona,278,35,26295.13680882584251231327,14090.17638725573521887448,12.59,1.93,3.06,0.63,1.56
Bankers_Insurance,ALL,persona,133,28,21158.67622200050913042591,15260.24486277922046608233,21.05,1.54,1.46,1.05,1.69
Medical_Professionals,ALL,persona,101,10,11833.37642834858000317047,6235.55839126921050571400,9.9,0.55,1.11,0.49,0.69
Cleaning_CallCenters,ALL,persona,44,9,6059.06288415851939869262,4014.14281524899844737840,20.45,0.5,0.48,1.02,0.45
Repair_Installation,ALL,persona,26,9,5284.58964821007598008400,3675.50308597752838127300,34.62,0.5,0.29,1.73,0.41
Repair,ALL,persona,69,6,4835.84666358477626577659,1531.20381467051513804000,8.7,0.33,0.76,0.43,0.17
BTP,start,persona_x_initial_plan,652,169,120446.76106966168002798826,82032.95666900854316786540,25.92,9.3,7.17,1.3,9.09
BTP,plus,persona_x_initial_plan,348,162,110926.98416576917194601753,90388.78227005861471479786,46.55,8.91,3.83,2.33,10.02
Consultant,start,persona_x_initial_plan,735,141,117386.61466546121455782353,72012.99746402756171146193,19.18,7.76,8.09,0.96,7.98
