month_start,persona,initial_subscription_group,segment_level,active_at_start,post_activation_closed_during_month,activated_during_month,activated_and_closed_same_month,active_at_end,monthly_post_activation_closure_rate_pct
2026-01-01,Medical_Professionals,plus,persona_x_initial_plan,5,0,2,0,7,0.0
2026-01-01,Medical_Professionals,start,persona_x_initial_plan,37,1,19,0,55,2.7
2026-01-01,Others,business,persona_x_initial_plan,20,3,10,1,26,15.0
2026-01-01,Others,free,persona_x_initial_plan,366,5,185,1,545,1.37
2026-01-01,Others,plus,persona_x_initial_plan,150,4,57,1,202,2.67
2026-01-01,Others,start,persona_x_initial_plan,434,8,185,0,611,1.84
2026-01-01,Professeur,business,persona_x_initial_plan,1,0,1,0,2,0.0
2026-01-01,Professeur,free,persona_x_initial_plan,81,2,40,0,119,2.47
2026-01-01,Professeur,plus,persona_x_initial_plan,13,0,3,0,16,0.0
2026-01-01,Professeur,start,persona_x_initial_plan,92,1,42,1,132,1.09
2026-01-01,Repair,business,persona_x_initial_plan,0,0,0,0,0,
2026-01-01,Repair,free,persona_x_initial_plan,16,0,15,0,31,0.0
2026-01-01,Repair,plus,persona_x_initial_plan,3,0,3,0,6,0.0
2026-01-01,Repair,start,persona_x_initial_plan,20,1,9,0,28,5.0
2026-01-01,Repair_Installation,free,persona_x_initial_plan,5,0,3,0,8,0.0
2026-01-01,Repair_Installation,plus,persona_x_initial_plan,1,0,3,0,4,0.0
2026-01-01,Repair_Installation,start,persona_x_initial_plan,7,0,7,0,14,0.0
2026-01-01,Restauration,business,persona_x_initial_plan,1,1,1,0,1,100.0
2026-01-01,Restauration,free,persona_x_initial_plan,61,0,28,0,89,0.0
2026-01-01,Restauration,plus,persona_x_initial_plan,33,2,15,0,46,6.06
2026-01-01,Restauration,start,persona_x_initial_plan,70,1,34,0,103,1.43
2026-01-01,Retail,business,persona_x_initial_plan,6,0,5,0,11,0.0
2026-01-01,Retail,free,persona_x_initial_plan,325,6,159,1,477,1.85
2026-01-01,Retail,plus,persona_x_initial_plan,121,7,46,0,160,5.79
2026-01-01,Retail,start,persona_x_initial_plan,383,11,179,1,550,2.87
2026-01-01,Wholesale,business,persona_x_initial_plan,10,0,1,0,11,0.0
2026-01-01,Wholesale,free,persona_x_initial_plan,35,0,19,1,53,0.0
2026-01-01,Wholesale,plus,persona_x_initial_plan,35,0,11,0,46,0.0
2026-01-01,Wholesale,start,persona_x_initial_plan,69,1,27,0,95,1.45
2026-02-01,ALL,business,initial_plan,151,4,61,3,205,2.65
2026-02-01,ALL,free,initial_plan,3497,43,1289,9,4734,1.23
2026-02-01,ALL,plus,initial_plan,1203,46,396,5,1548,3.82
2026-02-01,ALL,start,initial_plan,3901,76,1482,7,5300,1.95
2026-02-01,ALL,ALL,overall,8752,169,3228,24,11787,1.93
2026-02-01,Automobile_Trade_Repair,ALL,persona,375,10,130,0,495,2.67
2026-02-01,BTP,ALL,persona,1574,28,624,3,2167,1.78
2026-02-01,Bankers_Insurance,ALL,persona,128,0,57,0,185,0.0
2026-02-01,Bikers_Drivers,ALL,persona,523,17,164,1,669,3.25
2026-02-01,Cleaning_CallCenters,ALL,persona,42,0,26,0,68,0.0
2026-02-01,Consultant,ALL,persona,1549,18,562,5,2088,1.16
2026-02-01,Developer_IT,ALL,persona,741,7,266,1,999,0.94
2026-02-01,Media_Publishing,ALL,persona,334,3,114,0,445,0.9
2026-02-01,Medical_Professionals,ALL,persona,100,1,41,0,140,1.0
2026-02-01,Others,ALL,persona,1384,26,517,6,1869,1.88
2026-02-01,Professeur,ALL,persona,269,2,92,2,357,0.74
2026-02-01,Repair,ALL,persona,65,1,11,1,74,1.54
2026-02-01,Repair_Installation,ALL,persona,26,0,2,0,28,0.0
2026-02-01,Restauration,ALL,persona,239,4,85,0,320,1.67
2026-02-01,Retail,ALL,persona,1198,45,451,4,1600,3.76
2026-02-01,Wholesale,ALL,persona,205,7,86,1,283,3.41
2026-02-01,Automobile_Trade_Repair,business,persona_x_initial_plan,15,0,3,0,18,0.0
2026-02-01,Automobile_Trade_Repair,free,persona_x_initial_plan,111,2,29,0,138,1.8
2026-02-01,Automobile_Trade_Repair,plus,persona_x_initial_plan,95,5,26,0,116,5.26
2026-02-01,Automobile_Trade_Repair,start,persona_x_initial_plan,154,3,72,0,223,1.95
2026-02-01,BTP,business,persona_x_initial_plan,44,0,22,0,66,0.0
2026-02-01,BTP,free,persona_x_initial_plan,571,6,243,1,807,1.05
2026-02-01,BTP,plus,persona_x_initial_plan,327,7,109,1,428,2.14
2026-02-01,BTP,start,persona_x_initial_plan,632,15,250,1,866,2.37
2026-02-01,Bankers_Insurance,free,persona_x_initial_plan,76,0,29,0,105,0.0
2026-02-01,Bankers_Insurance,plus,persona_x_initial_plan,6,0,2,0,8,0.0
2026-02-01,Bankers_Insurance,start,persona_x_initial_plan,46,0,26,0,72,0.0
2026-02-01,Bikers_Drivers,business,persona_x_initial_plan,18,0,7,0,25,0.0
2026-02-01,Bikers_Drivers,free,persona_x_initial_plan,186,3,39,0,222,1.61
2026-02-01,Bikers_Drivers,plus,persona_x_initial_plan,87,3,29,0,113,3.45
2026-02-01,Bikers_Drivers,start,persona_x_initial_plan,232,11,89,1,309,4.74
2026-02-01,Cleaning_CallCenters,business,persona_x_initial_plan,1,0,1,0,2,0.0
2026-02-01,Cleaning_CallCenters,free,persona_x_initial_plan,19,0,5,0,24,0.0
2026-02-01,Cleaning_CallCenters,plus,persona_x_initial_plan,8,0,5,0,13,0.0
2026-02-01,Cleaning_CallCenters,start,persona_x_initial_plan,14,0,15,0,29,0.0
2026-02-01,Consultant,business,persona_x_initial_plan,12,2,5,0,15,16.67
2026-02-01,Consultant,free,persona_x_initial_plan,700,7,262,2,953,1.0
2026-02-01,Consultant,plus,persona_x_initial_plan,115,2,49,3,159,1.74
2026-02-01,Consultant,start,persona_x_initial_plan,722,7,246,0,961,0.97
2026-02-01,Developer_IT,business,persona_x_initial_plan,8,0,5,0,13,0.0
2026-02-01,Developer_IT,free,persona_x_initial_plan,318,4,123,0,437,1.26
2026-02-01,Developer_IT,plus,persona_x_initial_plan,56,2,23,0,77,3.57
2026-02-01,Developer_IT,start,persona_x_initial_plan,359,1,115,1,472,0.28
2026-02-01,Media_Publishing,business,persona_x_initial_plan,2,0,1,0,3,0.0
2026-02-01,Media_Publishing,free,persona_x_initial_plan,156,2,50,0,204,1.28
2026-02-01,Media_Publishing,plus,persona_x_initial_plan,22,1,8,0,29,4.55
2026-02-01,Media_Publishing,start,persona_x_initial_plan,154,0,55,0,209,0.0
2026-02-01,Medical_Professionals,free,persona_x_initial_plan,38,0,17,0,55,0.0
2026-02-01,Medical_Professionals,plus,persona_x_initial_plan,7,0,3,0,10,0.0
2026-02-01,Medical_Professionals,start,persona_x_initial_plan,55,1,21,0,75,1.82
2026-02-01,Others,business,persona_x_initial_plan,26,1,7,1,31,3.85
2026-02-01,Others,free,persona_x_initial_plan,545,6,194,1,732,1.1
2026-02-01,Others,plus,persona_x_initial_plan,202,12,66,1,255,5.94
2026-02-01,Others,start,persona_x_initial_plan,611,7,250,3,851,1.15
2026-02-01,Professeur,business,persona_x_initial_plan,2,0,1,0,3,0.0
2026-02-01,Professeur,free,persona_x_initial_plan,119,0,41,2,158,0.0
2026-02-01,Professeur,plus,persona_x_initial_plan,16,1,4,0,19,6.25
2026-02-01,Professeur,start,persona_x_initial_plan,132,1,46,0,177,0.76
2026-02-01,Repair,business,persona_x_initial_plan,0,0,0,0,0,
2026-02-01,Repair,free,persona_x_initial_plan,31,0,7,1,37,0.0
2026-02-01,Repair,plus,persona_x_initial_plan,6,0,2,0,8,0.0
2026-02-01,Repair,start,persona_x_initial_plan,28,1,2,0,29,3.57
2026-02-01,Repair_Installation,free,persona_x_initial_plan,8,0,0,0,8,0.0
2026-02-01,Repair_Installation,plus,persona_x_initial_plan,4,0,0,0,4,0.0
2026-02-01,Repair_Installation,start,persona_x_initial_plan,14,0,2,0,16,0.0
2026-02-01,Restauration,business,persona_x_initial_plan,1,0,0,0,1,0.0
2026-02-01,Restauration,free,persona_x_initial_plan,89,1,31,0,119,1.12
2026-02-01,Restauration,plus,persona_x_initial_plan,46,0,13,0,59,0.0
2026-02-01,Restauration,start,persona_x_initial_plan,103,3,41,0,141,2.91
2026-02-01,Retail,business,persona_x_initial_plan,11,1,8,2,16,9.09
2026-02-01,Retail,free,persona_x_initial_plan,477,11,193,2,657,2.31
2026-02-01,Retail,plus,persona_x_initial_plan,160,10,41,0,191,6.25
2026-02-01,Retail,start,persona_x_initial_plan,550,23,209,0,736,4.18
2026-02-01,Wholesale,business,persona_x_initial_plan,11,0,1,0,12,0.0
2026-02-01,Wholesale,free,persona_x_initial_plan,53,1,26,0,78,1.89
2026-02-01,Wholesale,plus,persona_x_initial_plan,46,3,16,0,59,6.52
2026-02-01,Wholesale,start,persona_x_initial_plan,95,3,43,1,134,3.16
2026-03-01,ALL,business,initial_plan,205,14,40,1,230,6.83
2026-03-01,ALL,free,initial_plan,4734,53,978,6,5653,1.12
2026-03-01,ALL,plus,initial_plan,1548,29,289,2,1806,1.87
2026-03-01,ALL,start,initial_plan,5300,75,1132,15,6342,1.42
2026-03-01,ALL,ALL,overall,11787,171,2439,24,14031,1.45
2026-03-01,Automobile_Trade_Repair,ALL,persona,495,10,115,2,598,2.02
2026-03-01,BTP,ALL,persona,2167,21,378,5,2519,0.97
2026-03-01,Bankers_Insurance,ALL,persona,185,1,28,1,211,0.54
2026-03-01,Bikers_Drivers,ALL,persona,669,21,148,2,794,3.14
2026-03-01,Cleaning_CallCenters,ALL,persona,68,2,15,0,81,2.94
2026-03-01,Consultant,ALL,persona,2088,25,442,2,2503,1.2
2026-03-01,Developer_IT,ALL,persona,999,7,195,1,1186,0.7
2026-03-01,Media_Publishing,ALL,persona,445,5,92,0,532,1.12
2026-03-01,Medical_Professionals,ALL,persona,140,3,38,2,173,2.14
2026-03-01,Others,ALL,persona,1869,32,453,4,2286,1.71
2026-03-01,Professeur,ALL,persona,357,6,81,0,432,1.68
2026-03-01,Repair,ALL,persona,74,0,18,0,92,0.0
2026-03-01,Repair_Installation,ALL,persona,28,1,5,0,32,3.57
2026-03-01,Restauration,ALL,persona,320,3,58,0,375,0.94
2026-03-01,Retail,ALL,persona,1600,31,311,5,1875,1.94
2026-03-01,Wholesale,ALL,persona,283,3,62,0,342,1.06
2026-03-01,Automobile_Trade_Repair,business,persona_x_initial_plan,18,0,3,0,21,0.0
2026-03-01,Automobile_Trade_Repair,free,persona_x_initial_plan,138,5,30,0,163,3.62
2026-03-01,Automobile_Trade_Repair,plus,persona_x_initial_plan,116,1,17,0,132,0.86
2026-03-01,Automobile_Trade_Repair,start,persona_x_initial_plan,223,4,65,2,282,1.79
2026-03-01,BTP,business,persona_x_initial_plan,66,2,12,0,76,3.03
2026-03-01,BTP,free,persona_x_initial_plan,807,5,140,3,939,0.62
2026-03-01,BTP,plus,persona_x_initial_plan,428,5,71,0,494,1.17
2026-03-01,BTP,start,persona_x_initial_plan,866,9,155,2,1010,1.04
2026-03-01,Bankers_Insurance,free,persona_x_initial_plan,105,1,18,0,122,0.95
2026-03-01,Bankers_Insurance,plus,persona_x_initial_plan,8,0,4,1,11,0.0
2026-03-01,Bankers_Insurance,start,persona_x_initial_plan,72,0,6,0,78,0.0
2026-03-01,Bikers_Drivers,business,persona_x_initial_plan,25,3,2,0,24,12.0
2026-03-01,Bikers_Drivers,free,persona_x_initial_plan,222,5,55,0,272,2.25
2026-03-01,Bikers_Drivers,plus,persona_x_initial_plan,113,6,23,0,130,5.31
2026-03-01,Bikers_Drivers,start,persona_x_initial_plan,309,7,68,2,368,2.27
2026-03-01,Cleaning_CallCenters,business,persona_x_initial_plan,2,0,0,0,2,0.0
2026-03-01,Cleaning_CallCenters,free,persona_x_initial_plan,24,0,8,0,32,0.0
2026-03-01,Cleaning_CallCenters,plus,persona_x_initial_plan,13,1,2,0,14,7.69
2026-03-01,Cleaning_CallCenters,start,persona_x_initial_plan,29,1,5,0,33,3.45
2026-03-01,Consultant,business,persona_x_initial_plan,15,0,7,0,22,0.0
2026-03-01,Consultant,free,persona_x_initial_plan,953,10,189,0,1132,1.05
2026-03-01,Consultant,plus,persona_x_initial_plan,159,3,33,1,188,1.89
2026-03-01,Consultant,start,persona_x_initial_plan,961,12,213,1,1161,1.25
2026-03-01,Developer_IT,business,persona_x_initial_plan,13,0,2,0,15,0.0
