analysis_view,companies_needed,company_population,company_share_needed_pct,achieved_revenue_share_pct,entry_revenue
cumulative_through_april,4474,17568,25.47,80.0,133.71862479287660840000
tenure_controlled_through_age3,2935,9088,32.3,80.01,124.41556942958851240000
