revenue_month,persona,initial_subscription_group,revenue_type,revenue_companies,revenue,revenue_per_revenue_company
2025-10-01,Automobile_Trade_Repair,business,Banking fees,5,0.00000000000000000000,0.0
2025-10-01,Automobile_Trade_Repair,business,Deposit interest,5,14.43951172602739678680,2.8879023452054793
2025-10-01,Automobile_Trade_Repair,business,Interchange,5,115.10495104322153423000,23.020990208644307
2025-10-01,Automobile_Trade_Repair,business,Subscription,5,0.00000000000000000000,0.0
2025-10-01,Automobile_Trade_Repair,business,Total revenue,5,129.54446276924893101680,25.908892553849785
2025-10-01,Automobile_Trade_Repair,free,Banking fees,15,264.00000000000000000000,17.6
2025-10-01,Automobile_Trade_Repair,free,Deposit interest,15,36.85969401753424962486,2.4573129345022835
2025-10-01,Automobile_Trade_Repair,free,Interchange,15,155.92155986880653430000,10.394770657920436
2025-10-01,Automobile_Trade_Repair,free,Subscription,15,0.00000000000000000000,0.0
2025-10-01,Automobile_Trade_Repair,free,Total revenue,15,456.78125388634078392486,30.452083592422717
2025-10-01,Automobile_Trade_Repair,plus,Banking fees,11,138.00000000000000000000,12.545454545454545
2025-10-01,Automobile_Trade_Repair,plus,Deposit interest,11,71.67619202958903548200,6.516017457235367
2025-10-01,Automobile_Trade_Repair,plus,Interchange,11,302.65077066863400030000,27.513706424421272
2025-10-01,Automobile_Trade_Repair,plus,Subscription,11,16.87500000000000000000,1.5340909090909092
2025-10-01,Automobile_Trade_Repair,plus,Total revenue,11,529.20196269822303578200,48.1092693362021
2025-10-01,Automobile_Trade_Repair,start,Banking fees,22,438.00000000000000000000,19.90909090909091
2025-10-01,Automobile_Trade_Repair,start,Deposit interest,22,23.89966171123287652640,1.0863482596014944
2025-10-01,Automobile_Trade_Repair,start,Interchange,22,1909.08690671662742700000,86.77667757802853
2025-10-01,Automobile_Trade_Repair,start,Subscription,22,0.00000000000000000000,0.0
2025-10-01,Automobile_Trade_Repair,start,Total revenue,22,2370.98656842786030352640,107.77211674672093
2025-10-01,BTP,business,Banking fees,8,0.00000000000000000000,0.0
2025-10-01,BTP,business,Deposit interest,8,74.03988364493149735000,9.254985455616437
2025-10-01,BTP,business,Interchange,8,669.85667136297194200000,83.7320839203715
2025-10-01,BTP,business,Subscription,8,0.00000000000000000000,0.0
2025-10-01,BTP,business,Total revenue,8,743.89655500790343935000,92.98706937598793
2025-10-01,BTP,free,Banking fees,73,540.00000000000000000000,7.397260273972603
2025-10-01,BTP,free,Deposit interest,73,654.23399662904107805090,8.962109542863576
2025-10-01,BTP,free,Interchange,73,863.72852959903144439300,11.831897665740156
2025-10-01,BTP,free,Subscription,73,0.00000000000000000000,0.0
2025-10-01,BTP,free,Total revenue,73,2057.96252622807252244390,28.191267482576336
2025-10-01,BTP,plus,Banking fees,67,378.00000000000000000000,5.641791044776119
2025-10-01,BTP,plus,Deposit interest,67,293.75983710739724207613,4.384475180707422
2025-10-01,BTP,plus,Interchange,67,1436.89313033541545307000,21.446166124409185
2025-10-01,BTP,plus,Subscription,67,5.62500000000000000000,0.08395522388059702
2025-10-01,BTP,plus,Total revenue,67,2114.27796744281269514613,31.55638757377332
2025-10-01,BTP,start,Banking fees,91,672.00000000000000000000,7.384615384615385
2025-10-01,BTP,start,Deposit interest,91,850.10967476767124548765,9.341864557886497
2025-10-01,BTP,start,Interchange,91,570.96881441887632768000,6.274382576031608
2025-10-01,BTP,start,Subscription,91,66.40625000000000000000,0.729739010989011
2025-10-01,BTP,start,Total revenue,91,2159.48473918654757316765,23.7306015295225
2025-10-01,Bankers_Insurance,free,Banking fees,8,276.00000000000000000000,34.5
2025-10-01,Bankers_Insurance,free,Deposit interest,8,23.11712315013698272220,2.889640393767123
2025-10-01,Bankers_Insurance,free,Interchange,8,0.00000000000000000000,0.0
2025-10-01,Bankers_Insurance,free,Subscription,8,0.00000000000000000000,0.0
2025-10-01,Bankers_Insurance,free,Total revenue,8,299.11712315013698272220,37.389640393767124
2025-10-01,Bankers_Insurance,start,Banking fees,7,143.06000000000000000000,20.437142857142856
2025-10-01,Bankers_Insurance,start,Deposit interest,7,4.83044673643835619000,0.6900638194911937
2025-10-01,Bankers_Insurance,start,Interchange,7,252.53642193246836006000,36.07663170463834
2025-10-01,Bankers_Insurance,start,Subscription,7,20.46875000000000000000,2.924107142857143
2025-10-01,Bankers_Insurance,start,Total revenue,7,420.89561866890671625000,60.12794552412953
2025-10-01,Bikers_Drivers,business,Banking fees,5,138.00000000000000000000,27.6
2025-10-01,Bikers_Drivers,business,Deposit interest,5,71.47720615506849267970,14.295441231013697
2025-10-01,Bikers_Drivers,business,Interchange,5,87.70934475144056100000,17.541868950288112
2025-10-01,Bikers_Drivers,business,Subscription,5,0.00000000000000000000,0.0
2025-10-01,Bikers_Drivers,business,Total revenue,5,297.18655090650905367970,59.43731018130181
2025-10-01,Bikers_Drivers,free,Banking fees,35,760.00000000000000000000,21.714285714285715
2025-10-01,Bikers_Drivers,free,Deposit interest,35,18.06228800602739666702,0.5160653716007828
2025-10-01,Bikers_Drivers,free,Interchange,35,222.78137949479908834000,6.365182271279974
2025-10-01,Bikers_Drivers,free,Subscription,35,0.00000000000000000000,0.0
2025-10-01,Bikers_Drivers,free,Total revenue,35,1000.84366750082648500702,28.595533357166474
2025-10-01,Bikers_Drivers,plus,Banking fees,26,118.00000000000000000000,4.538461538461538
2025-10-01,Bikers_Drivers,plus,Deposit interest,26,23.78432826739725852490,0.9147818564383562
2025-10-01,Bikers_Drivers,plus,Interchange,26,617.12767549788502549000,23.73567982684173
2025-10-01,Bikers_Drivers,plus,Subscription,26,16.25000000000000000000,0.625
2025-10-01,Bikers_Drivers,plus,Total revenue,26,775.16200376528228401490,29.813923221741625
2025-10-01,Bikers_Drivers,start,Banking fees,33,650.00000000000000000000,19.696969696969695
2025-10-01,Bikers_Drivers,start,Deposit interest,33,10.81300965643835623888,0.3276669592860108
2025-10-01,Bikers_Drivers,start,Interchange,33,239.78036236728894742300,7.266071586887544
2025-10-01,Bikers_Drivers,start,Subscription,33,14.21875000000000000000,0.4308712121212121
2025-10-01,Bikers_Drivers,start,Total revenue,33,914.81212202372730366188,27.721579455264465
2025-10-01,Cleaning_CallCenters,free,Banking fees,4,138.00000000000000000000,34.5
2025-10-01,Cleaning_CallCenters,free,Deposit interest,4,1.62245045698630113484,0.4056126142465753
2025-10-01,Cleaning_CallCenters,free,Interchange,4,0.00000000000000000000,0.0
2025-10-01,Cleaning_CallCenters,free,Subscription,4,0.00000000000000000000,0.0
2025-10-01,Cleaning_CallCenters,free,Total revenue,4,139.62245045698630113484,34.90561261424658
2025-10-01,Cleaning_CallCenters,start,Banking fees,2,0.00000000000000000000,0.0
2025-10-01,Cleaning_CallCenters,start,Deposit interest,2,9.61854984821917610000,4.809274924109588
2025-10-01,Cleaning_CallCenters,start,Interchange,2,0.00000000000000000000,0.0
2025-10-01,Cleaning_CallCenters,start,Subscription,2,0.00000000000000000000,0.0
2025-10-01,Cleaning_CallCenters,start,Total revenue,2,9.61854984821917610000,4.809274924109588
2025-10-01,Consultant,business,Banking fees,2,0.00000000000000000000,0.0
2025-10-01,Consultant,business,Deposit interest,2,4.81070023616438436301,2.4053501180821923
2025-10-01,Consultant,business,Interchange,2,0.00000000000000000000,0.0
2025-10-01,Consultant,business,Subscription,2,0.00000000000000000000,0.0
2025-10-01,Consultant,business,Total revenue,2,4.81070023616438436301,2.4053501180821923
2025-10-01,Consultant,free,Banking fees,80,2062.00000000000000000000,25.775
2025-10-01,Consultant,free,Deposit interest,80,160.75720237369861890528,2.0094650296712326
2025-10-01,Consultant,free,Interchange,80,260.70444103746833117300,3.2588055129683537
