activation_month,observation_month,months_since_activation,segment_level,persona,initial_subscription_group,activated_cohort_size,active_companies,at_risk_companies,churned_proxy_companies,never_monetized_companies,active_share_pct,at_risk_share_pct,churned_proxy_share_pct,never_monetized_share_pct,subscription_revenue,interchange_revenue,banking_fees,deposit_interest_revenue,total_revenue,revenue_per_original_activated_company
2025-10-01,2025-10-01,0,persona_x_initial_plan,Repair,plus,1,1,0,0,0,100.0,0.0,0.0,0.0,0.00000000000000000000,17.63248993271501100000,0.00000000000000000000,0.16855051123287673000,17.80104044394788773000,17.801040443947887
2025-10-01,2025-10-01,0,persona_x_initial_plan,Repair,start,4,4,0,0,0,100.0,0.0,0.0,0.0,7.21875000000000000000,9.05266130799228190000,0.00000000000000000000,4.49201602082191821000,20.76342732881420011000,5.19085683220355
2025-10-01,2025-10-01,0,persona_x_initial_plan,Restauration,free,9,9,0,0,0,100.0,0.0,0.0,0.0,0.00000000000000000000,22.73887515861309645000,118.00000000000000000000,24.43874903890410470930,165.17762419751720115930,18.353069355279686
2025-10-01,2025-10-01,0,persona_x_initial_plan,Restauration,plus,12,12,0,0,0,100.0,0.0,0.0,0.0,8.75000000000000000000,199.16391867337249293000,543.34000000000000000000,55.03192305315069157260,806.28584172652318450260,67.19048681054359
2025-10-01,2025-10-01,0,persona_x_initial_plan,Restauration,start,7,7,0,0,0,100.0,0.0,0.0,0.0,0.00000000000000000000,2.82858032576408760000,236.00000000000000000000,7.10530992164383427700,245.93389024740792187700,35.133412892486845
2025-10-01,2025-10-01,0,persona_x_initial_plan,Retail,business,1,1,0,0,0,100.0,0.0,0.0,0.0,0.00000000000000000000,146.97057448968980000000,0.00000000000000000000,0.60717479452054790000,147.57774928421034790000,147.57774928421034
2025-10-01,2025-10-01,0,persona_x_initial_plan,Retail,free,49,49,0,0,0,100.0,0.0,0.0,0.0,0.00000000000000000000,115.74830174185948007000,906.00000000000000000000,54.33829257041096083500,1076.08659431227044090500,21.960950904332048
2025-10-01,2025-10-01,0,persona_x_initial_plan,Retail,plus,25,25,0,0,0,100.0,0.0,0.0,0.0,32.91666666600000000000,260.77697162735507035000,1933.34000000000000000000,57.69995055068492676673,2284.73358884403999711673,91.38934355376159
2025-10-01,2025-10-01,0,persona_x_initial_plan,Retail,start,82,82,0,0,0,100.0,0.0,0.0,0.0,31.94791666700000000000,373.41360789061731698000,1024.00000000000000000000,138.70504828219177930389,1568.06657283980909628389,19.122763083412305
2025-10-01,2025-10-01,0,persona_x_initial_plan,Wholesale,business,1,1,0,0,0,100.0,0.0,0.0,0.0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,1.51183165369863000000,1.51183165369863000000,1.5118316536986298
2025-10-01,2025-10-01,0,persona_x_initial_plan,Wholesale,free,6,6,0,0,0,100.0,0.0,0.0,0.0,0.00000000000000000000,17.33998016953953700000,276.00000000000000000000,5.96830997150684979976,299.30829014104638679976,49.88471502350773
2025-10-01,2025-10-01,0,persona_x_initial_plan,Wholesale,plus,3,3,0,0,0,100.0,0.0,0.0,0.0,0.00000000000000000000,30.90948237816624310000,0.00000000000000000000,2.64992329424657516000,33.55940567241281826000,11.186468557470938
2025-10-01,2025-10-01,0,persona_x_initial_plan,Wholesale,start,13,13,0,0,0,100.0,0.0,0.0,0.0,16.31250000000000000000,46.27992497894527608000,0.00000000000000000000,58.89069744986301587770,121.48312242880829195770,9.344855571446791
